z,y,x
237.72655,30.593824,221.68106
302.30707,27.62579,264.1835
199.42696,23.7393,265.05362
212.41698,23.621368,274.37442
202.91269,23.086952,279.08075
280.32126,27.07969,279.6326
273.78394,26.675457,280.69754
280.9419,27.03867,281.5041
273.06143,26.483206,282.5817
193.87073,22.506292,282.38828
279.24338,26.854136,283.8559
283.02783,26.943802,285.6108
285.54144,27.052364,285.89444
284.91904,27.005247,286.28027
280.23563,26.75096,286.46127
286.95505,27.058487,287.2479
269.23737,25.796808,287.98157
268.00735,25.586052,290.28473
177.40642,21.465677,292.61383
285.12885,26.704226,292.90936
267.43408,25.421791,293.07538
288.68628,26.872253,293.6175
266.9122,25.365337,293.49277
285.93008,26.669302,294.59784
276.56262,26.008247,295.59808
286.45853,26.610193,296.08228
287.41232,26.562365,297.8758
278.41452,25.992956,298.11795
199.56209,21.966553,299.77475
285.76526,26.36805,300.3654
271.6827,25.284996,300.85712
268.7416,25.05517,301.04123
274.7526,25.414366,302.8212
271.166,25.085337,303.13977
267.3453,24.497307,305.89493
270.74158,24.814238,306.09897
273.83533,24.806017,312.19357
306.9574,26.834448,313.28354
281.10745,25.2919,313.0872
303.40002,26.633444,313.43616
305.8772,26.69282,314.78186
284.21704,25.294966,316.02298
283.0269,25.204134,316.6466
428.18283,33.156403,317.67502
293.7113,25.729885,320.90512
292.22296,25.564539,323.1935
272.6662,23.928652,325.62024
285.55978,24.690332,330.6856
291.61664,24.652319,335.02808
443.80347,32.492863,346.37595
241.75636,12.232096,549.09894
176.59972,35.35446,21.794825
177.01384,35.333973,22.611685
175.68536,35.25379,22.912611
177.36717,34.959248,30.46074
156.10344,33.747253,33.848686
125.424324,32.08542,36.998566
127.08988,31.927532,41.79482
97.91173,29.763508,56.58965
32.83594,26.552876,57.03301
393.18274,43.77083,67.83264
87.1157,28.541725,74.77214
390.30426,42.189034,98.22071
38.832245,24.473776,108.7536
78.209114,26.18676,113.286446
420.3269,42.487694,121.60253
106.42235,26.932804,125.835304
105.93885,26.896727,126.026764
210.0128,31.775345,129.16054
224.8009,32.470062,133.18474
187.82458,30.29896,136.48799
63.884296,24.294453,137.17735
93.46998,25.380096,144.52927
93.66971,25.370243,144.92473
192.45445,29.086554,166.65245
183.47443,28.49513,169.50473
114.527336,24.879812,175.27411
221.31151,30.537912,179.02113
164.40727,27.035488,179.6976
179.85133,27.452223,183.77509
228.44087,31.740902,184.75879
202.0088,28.354733,186.00508
208.73553,28.188334,187.81548
14.194443,19.168839,192.23283
274.0826,31.753017,199.92473
204.29027,28.70927,199.7687
238.39241,34.93082,206.86815
242.99696,32.89119,208.0282
196.97668,27.801477,210.34926
475.73813,40.15784,222.61673
169.09727,22.04112,234.33565
121.40726,22.005447,235.4754
424.811,36.75693,241.82489
260.05032,26.530848,241.44824
409.85092,35.886745,245.24513
155.82063,20.869724,246.84288
261.51083,26.28385,248.13303
244.36159,25.049875,258.07104
450.94824,37.149353,260.07578
203.29596,24.173325,259.57208
197.64856,23.770506,262.16895
200.86966,23.887417,262.91577
302.93103,27.676577,263.77887
197.92194,23.688967,264.8476
203.67976,23.914831,265.1272
308.43805,27.813778,265.89215
184.30223,23.178635,265.34866
206.11899,24.043291,265.7726
201.69533,23.774538,265.89523
198.56133,23.521374,268.0084
204.29405,23.666243,269.08997
215.82787,23.446533,270.94336
134.58743,20.085745,276.0726
264.95895,25.81481,279.53976
280.1309,27.063107,280.04376
277.93967,26.97483,280.32272
195.5668,22.65727,280.7103
272.5047,26.530035,281.20068
192.72852,22.564968,280.76892
194.99542,22.597668,281.40836
267.62753,25.960922,282.72336
203.43285,22.975657,282.7299
261.6062,24.788149,283.60562
266.0546,25.69864,284.0737
274.64,26.507515,284.31714
261.59167,24.766693,284.80328
196.30786,22.456125,285.6683
283.86102,26.970253,285.9384
265.33295,25.54742,285.84888
286.30722,27.04959,286.72696
280.8242,26.779736,286.47513
289.07535,27.15114,286.85764
191.96432,22.278046,286.63364
271.39984,26.050924,287.2035
288.54077,27.1189,287.46075
284.32172,26.908417,287.4881
272.69122,26.14201,287.5241
282.97278,26.811342,287.8704
275.2793,26.366444,287.64072
284.86752,26.903433,288.1133
270.6773,25.915583,288.31116
282.6746,26.763935,288.38058
291.5026,27.219019,288.81995
269.9583,25.811495,288.90543
290.75323,27.17788,289.2193
291.49365,27.205414,289.50812
289.58524,27.106619,289.7085
