MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/19/2025 0:54:42,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,88,0,81,0,1.40,15,nan
2/19/2025 0:54:53,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,89,0,81,0,nan,nan,49
2/19/2025 0:54:56,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,89,0,82,0,1.22,14,nan
2/19/2025 0:55:05,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,90,0,82,0,nan,nan,176
2/19/2025 0:55:08,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,90,0,83,0,0.85,12,nan
2/19/2025 0:55:28,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,91,0,83,0,nan,nan,454
2/19/2025 0:55:30,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,91,0,84,0,0.55,22,nan
2/19/2025 0:55:38,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,92,0,84,0,nan,nan,23
2/19/2025 0:55:41,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,92,0,85,0,0.67,11,nan
2/19/2025 0:55:56,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,93,0,85,0,nan,nan,233
2/19/2025 0:56:03,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,93,0,86,0,5.27,22,nan
2/19/2025 1:23:49,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,94,0,86,0,nan,nan,89
2/19/2025 1:23:53,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,94,0,87,0,1.95,1670,nan
2/19/2025 1:35:00,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,95,0,87,0,nan,nan,6
2/19/2025 1:35:04,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,95,0,88,0,1.95,671,nan
2/19/2025 1:40:45,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,96,0,88,0,nan,nan,310
2/19/2025 1:40:48,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,96,0,89,0,1.52,344,nan
2/19/2025 1:41:00,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,97,0,89,0,nan,nan,75
2/19/2025 1:41:05,1.17.0,baseline,1,3.64,2,1,Pellet,LeftANDRight,0,97,0,90,0,1.46,17,nan
2/19/2025 1:41:17,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,98,0,90,0,nan,nan,422
2/19/2025 1:41:21,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,98,0,91,0,1.10,15,nan
2/19/2025 1:41:31,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,99,0,91,0,nan,nan,215
2/19/2025 1:41:34,1.17.0,baseline,1,3.65,1,1,Pellet,LeftANDRight,0,99,0,92,0,0.55,14,nan
2/19/2025 1:42:50,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,100,0,92,0,nan,nan,67
2/19/2025 1:42:54,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,100,0,93,0,1.46,80,nan
2/19/2025 1:48:09,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,101,0,93,0,nan,nan,404
2/19/2025 1:48:12,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,101,0,94,0,1.03,318,nan
2/19/2025 1:50:49,1.17.0,baseline,1,3.64,nan,1,Right,LeftANDRight,0,102,0,94,0,nan,nan,119
2/19/2025 1:50:55,1.17.0,baseline,1,3.64,1,1,Pellet,LeftANDRight,0,102,0,95,0,3.92,163,nan
2/19/2025 1:57:12,1.17.0,baseline,1,3.65,nan,1,Right,LeftANDRight,0,103,0,95,0,nan,nan,407
2/19/2025 1:57:15,1.17.0,baseline,1,3.65,2,1,Pellet,LeftANDRight,0,103,0,96,0,0.79,380,nan
