"Program","xPONENT","","Intelliflex"
"Build","2.1.1015"
"Date","2025-05-07","12:07"



"SN","IFLEXS22334001"
"Batch","Mouse Metabolic 5-7-25"
"Version","1"
"Operator",""
"ComputerName","INTELLIFLEX-PC"
"Country Code","409"
"ProtocolName",""
"ProtocolVersion","N/A"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"PanelName","Mouse Metabolic MMHE-44K [v1]"
"MaxSampleUptakeVolume","50 ul"
"DDGate","8000 to 15000"
"SampleTimeout","50 sec"
"BatchStartTime","2025-05-07 11:33"
"BatchStopTime","2025-05-07 12:06"
"BatchDescription",""
"ProtocolPlate","Name","","Type","96","Plates","1"
"ProtocolMicrosphere","Map","","Type","","Count",""
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"
"ProtocolOperatingMode","xMAP INTELLIFLEX® High Sensitivity"
"BeadType","MagPlex"
"PrePlateRoutine",""
"PostPlateRoutine","Wash"
"PostWellRoutine",""
"PlateReadDirection","Vertical"


"Most Recent Calibration and Control Results:"
"Last Calibration","Calibrated 05/07/2025 10:49"
"Last Verification","Verified 05/07/2025 10:53"
"Last Fluidics Test","Verified 05/07/2025 10:55"

"CALInfo:"
"Classification Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1 Calibrated","CL1 Gain Final Volts","CL2 Calibrated","CL2 Gain Final Volts","CL3 Calibrated","CL3 Gain Final Volts","EDR Gain Calibrated","EDR Gain Final Volts","Lx200 RP1 High Gain Calibrated","Lx200 RP1 High Gain Final Volts","Lx200 RP1 Low Gain Calibrated","Lx200 RP1 Low Gain Final Volts","DDMag Calibrated","DDMag Gain Final Volts","DDMicro Calibrated","DDMicro Gain Final Volts","Standard RP1 Gain Calibrated","Standard RP1 Gain Final Volts"
"C07684","07/09/2026 00:00","05/07/2025 10:49","True","82.50","True","86.38","True","82.09","True","83.68","True","564.28","True","459.32","True","55.08","True","83.64","True","578.18"

"Samples","96","Min Events","","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"66(1,B9)","Unknown24","17351.35938","4047.48633","12728.81641","8454.94824","10311.12988","28225.88477","59662.44141","119947.03125","5949.49219","2280.41162","3732.40405","6366.07666","273526.875","3094.53198","5954.88086","1090"
"67(1,C9)","Unknown25","12590.52637","1566.01929","27056.87695","2653.04956","2637.61475","15386.37793","11946.66797","134498.76562","1536.82861","1632.31641","5177.74561","6365.65527","852599.75","4463.76465","2460.40796","1018"
"68(1,D9)","Unknown26","65744.99219","1913.63538","29953.12109","3633.86182","1358.25671","58197.01172","93379.25","202804","1928.87366","6400.21826","34268.32422","8680.72461","282531.5","4589.60547","5022.38086","974"
"69(1,E9)","Unknown27","15667.80273","2222.98877","19332.78906","5448.68311","1222.33606","17682.78906","16263.92969","148363.45312","3945.58252","4131.6709","6040.76123","7885.95752","217367.48438","4606.12646","69487.04688","1111"
"70(1,F9)","Unknown28","21662.96289","7944.55811","14439.21973","3213.99365","2638.11987","14935.94531","29344.37695","127007.82031","1758.1499","1727.92847","3838.40332","3827.65234","236201.35938","4096.34814","2166.82373","971"
"71(1,G9)","Unknown29","8814.7627","2356.32593","27427.13086","8686.67383","1664.31726","41740.83984","19307.50977","139658.3125","2420.37646","4678.68994","8042.41016","6648.58594","253360.34375","3233.26709","2686.60181","1215"
"72(1,H9)","Unknown30","5575.22656","5433.59033","22167.77344","2774.3501","5590.67432","11945.81934","25433.39648","170942.42188","1643.02344","2129.73901","8581.03809","7259.99805","269907.03125","3937.37451","3507.50415","1002"
"73(1,A10)","Unknown23","44448.51953","11528.76855","45873.01562","13472.65625","3470.04199","57275.65234","75025.5625","178992.82812","6739.1958","14297.45508","7907.69824","39556.66797","219938.01562","5585.59375","3104.33936","1034"
"74(1,B10)","Unknown24","11348.0625","4259.10645","11148.32617","18296.12109","2285.60254","23257.88672","15433.44531","130164.39062","1362.17542","4061.1189","5328.07129","5464.6958","253599.67188","2887.79932","4961.4126","977"
"75(1,C10)","Unknown25","17590.44336","5014.80957","47188.12891","6802.09082","1560.45581","33013.02344","24394.47461","170183.53125","2942.2063","6531.05176","5132.75586","11376.19336","245853.89062","5815.65918","4471.14697","1145"
"76(1,D10)","Unknown26","55954.99219","3163.00244","27141.97852","5616.15479","2040.50586","52422.68359","102179.17188","207627.20312","2444.0813","31025.56055","5300.31934","9128.33789","278638.90625","4739.49219","25189.68164","1030"
"77(1,E10)","Unknown27","19001.61719","7584.48291","24104.20703","8674.68066","1496.52844","20653.58008","20898.58398","152796.375","2254.47388","3333.77563","42473.44531","5955.85059","557278.875","5627.32422","3847.60059","1120"
"78(1,F10)","Unknown28","27761.19336","5672.56543","26833.19336","8295.23047","1814.95715","20111.05078","43865.75781","133380.98438","2328.67896","3825.98828","4964.23389","5808.13428","261617.375","2821.53296","4472.43994","1174"
"79(1,G10)","Unknown29","7242.23828","2641.64355","38164.25391","15742.71777","1915.46594","62284.90625","18101.87305","134674.5625","1840.17566","3345.07666","14254.41602","6174.92139","265949.78125","3448.24829","2635.81689","1073"
"80(1,H10)","Unknown30","4777.75098","1223.02051","27589.0332","5160.77441","4127.87158","13667.54785","43672.50781","160252.4375","7415.83936","3921.00293","9109.95996","9092.84961","319387.96875","4409.57568","2381.99536","1096"
"81(1,A11)","Unknown31","36741.94141","4149.17383","11238.08301","8293.87207","11044.54004","9682.74414","55675.92969","144573.34375","2202.16943","1845.35913","4589.61572","6988.5835","217728.54688","6909.66992","4356.20361","1338"
"82(1,B11)","Unknown32","11999.34668","1560.02368","20677.27344","44826.48047","3407.46484","5725.72656","17496.99023","143099.625","4399.64062","4677.69775","12190.56055","5717.10498","293193.1875","6353.93896","3693.0022","1023"
"83(1,C11)","Unknown33","27530.95898","6986.18848","37632.76562","8646.61523","3369.28882","20663.94531","37711.64453","176865.40625","1525.27576","4748.17969","5807.0752","11662.79785","272765.9375","5713.56348","4181.35449","1149"
"84(1,D11)","Unknown34","54055.90625","6921.17822","36927.4375","9855.91602","5166.78857","41986.0625","124074.78125","154008.09375","3505.0249","4564.69482","11318.8418","7530.62061","229393.45312","3142.38062","5672.4458","1201"
"85(1,E11)","Unknown35","21564.74414","5515.521","22830.06055","6047.25049","2687.16577","47495.94531","38409.98438","120435.15625","1257.17664","1799.62988","3710.90747","5457.70459","177531.29688","3303.71826","2845.39624","1029"
"86(1,F11)","Unknown36","24364.64258","2894.43945","17637.02148","14943.30859","3643.06323","17755.41211","15014.67578","141582.71875","2041.84961","6916.64941","4970.23242","12136.53809","339218.34375","4705.21143","4222.93262","1184"
"87(1,G11)","Unknown37","115286.01562","9135.25781","9032.94043","17695.04102","2831.84717","7197.95947","189706.35938","90425.96875","3175.56836","2584.77856","7413.78174","5336.16113","221805.34375","2975.96924","3533.96436","1155"
"88(1,H11)","Unknown38","32467.375","9659.38184","27900.14258","10513.06152","6882.77881","25320.45703","18081.39453","75241.95312","2926.97168","14750.2207","9165.11719","6357.46533","275844.71875","15482.00586","4576.80811","406"
"89(1,A12)","Unknown31","26767.33203","5469.28369","9200.87695","3557.28149","1232.18738","5300.56738","49308.09375","140562.90625","2845.34912","3040.65186","3139.8811","5785.02393","179620.5625","4759.16602","2483.30591","1032"
"90(1,B12)","Unknown32","8946.16406","1701.81482","4478.03418","8622.6709","3136.58765","3847.76978","9139.4668","117941.44531","2796.3667","17316.06055","4368.2417","3300.05615","1467279.875","5123.02832","1890.00281","1332"
"91(1,C12)","Unknown33","20246.56641","2666.67383","17331.31836","2693.17627","1811.60095","11257.28223","22499.73828","169049.28125","1439.16211","1363.31238","5660.80078","5948.08447","258439.67188","5187.0835","1747.57471","893"
"92(1,D12)","Unknown34","38346.14062","2890.48608","18450.0957","4088.22461","1216.09424","19215.47266","90972.52344","134630.625","1144.1178","1845.37463","4987.01855","12764.1748","1361360.25","2278.83911","2380.20996","1029"
"93(1,E12)","Unknown35","22913.52734","1681.86218","20338.25","4429.66455","1349.82227","38700.14844","38920.48047","139847.39062","1446.70337","2150.48804","2979.45239","4919.86426","184965.23438","3991.51709","1319.69373","1133"
"94(1,F12)","Unknown36","18239.05859","8184.46045","14672.7373","9667.08691","2891.51709","11231.75195","9704.47852","137393.10938","1794.04504","4451.50781","4797.93262","9457.11035","780484.875","4355.04443","8598.35156","1090"
"95(1,G12)","Unknown37","99764.53906","7671.60449","9047.33594","7084.93066","3386.23706","5895.0874","141934.3125","91580.44531","1775.34314","1932.84253","5354.68506","4329.19873","190397.67188","4796.97266","3046.81787","1170"
"96(1,H12)","Unknown38","29107.5332","5327.48047","24095.74805","9975.85352","4430.59033","73338.29688","19909","81626.13281","4867.98438","7781.28809","4390.6582","33214.50781","296935.84375","7389.28418","11127.84375","1015"


"DataType:","Trimmed Peak"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"1(1,A1)","Standard1","292490","677948","579861","855546","736885","2843528","1162790","501225","852610","299165","510206","529667","1119811","599578","954239","1168"
"2(1,B1)","Standard2","239522","425448","250323","668881","340466","2582876","778676","473366","466798","257508","326198","388201","728597","277412","650984","1061"
"3(1,C1)","Standard3","151562","250074","78775","246811","120237","1425793","527642","253401","150065","184243","126376","274368","453803","98220","230879","1075"
"4(1,D1)","Standard4","55716","85190","26740","60367","48591","343728","193066","109419","38394","77143","35075","56422","162261","41205","80963","1158"
"5(1,E1)","Standard5","11851","22299","8055","16477","16045","47400","57432","42378","8203","33700","14567","10667","75315","14247","16705","1018"
"6(1,F1)","Standard6","4639","5551","5783","9459","5797","6856","10514","4102","3232","9300","8879","5707","41869","8396","3636","1002"
"7(1,G1)","Standard7","3299","2458","6698","6051","3291","4028","3034","7682","2578","4836","9666","4004","23025","5340","2618","1264"
"8(1,H1)","Background0","3409","1681","3428","5928","1905","4106","2615","3289","2321","3076","7577","4824","16122","5474","2285","1152"
"9(1,A2)","Standard1","321712","727651","569738","836350","818130","2390046","1065463","563859","829635","326985","521189","493384","1101202","651629","931313","1126"
"10(1,B2)","Standard2","257760","467160","233567","584943","334629","2284093","844014","478981","477059","303131","372590","513247","774090","289574","552450","1103"
"11(1,C2)","Standard3","154655","219838","89254","320900","145615","1476310","512019","284818","190752","204508","144720","266606","419598","107791","311025","1070"
"12(1,D2)","Standard4","64098","96503","35263","69155","52682","395433","222890","98195","41902","84622","39267","64718","180559","44237","95535","1061"
"13(1,E2)","Standard5","13397","16738","11592","16513","16083","47569","54586","44160","8047","34086","16115","6585","75230","14263","16834","1257"
"14(1,F2)","Standard6","4651","5673","5234","7860","6577","8929","11182","16051","3946","11362","9629","5136","41296","9458","5042","1034"
"15(1,G2)","Standard7","3945","2783","4103","6145","3504","3429","3237","5580","2326","5139","10683","4181","24491","4746","3024","962"
"16(1,H2)","Background0","2912","1774","2924","4735","1781","4094","1857","3714","2287","2428","10683","5344","16341","5331","2375","1216"
"17(1,A3)","Control1","51164","74230","35160","78707","50804","338337","194921","102244","39049","82139","37456","57886","103090","40316","104308","957"
"18(1,B3)","Control2","139666","243890","80007","304470","121582","1348174","497102","241446","149335","206229","124807","257796","249882","90618","261627","1143"
"19(1,C3)","Unknown1","50618","3293","66906","11834","4095","37602","51758","257083","2900","6195","10511","10893","326915","7729","3809","1335"
"20(1,D3)","Unknown2","57989","3497","70308","34249","3158","55642","54697","296125","3484","6445","14817","15495","456333","12342","3644","1179"
"21(1,E3)","Unknown3","63244","2798","16685","13080","3558","2272","63217","185789","2148","3637","8893","5343","281906","4120","3856","1181"
"22(1,F3)","Unknown4","67834","3800","84715","18796","3793","22350","57002","295229","3948","6441","11393","10528","408384","8054","3225","1080"
"23(1,G3)","Unknown5","62366","4284","46265","17762","2098","36854","88687","214338","2673","5733","11167","15415","361239","6799","2466","991"
"24(1,H3)","Unknown6","69210","5152","79950","18487","4030","48711","111854","305689","3219","4947","12080","17426","460009","9610","5375","966"
"25(1,A4)","Control1","52404","78047","36210","85449","50054","451687","211609","115567","38542","113022","37881","60468","129939","42080","88841","1181"
"26(1,B4)","Control2","130002","205349","85692","343006","129587","1224702","519081","217529","155050","200697","130679","284595","293289","97043","271387","1035"
"27(1,C4)","Unknown1","42778","3285","55779","9086","3477","30784","51548","239765","2864","4574","11367","9447","239870","7549","2621","1203"
"28(1,D4)","Unknown2","38208","2566","38229","10542","2741","24299","36723","253093","2333","5048","9817","8250","333077","10056","4192","1007"
"29(1,E4)","Unknown3","74543","2472","21281","13398","3296","3778","79119","218076","2428","4638","11365","3872","392090","13061","3417","1314"
"30(1,F4)","Unknown4","69853","2736","80647","21356","3703","24611","59838","283686","2333","5566","12821","17714","502297","10519","2786","1180"
"31(1,G4)","Unknown5","40709","3162","26837","10464","3227","4282","57690","185252","2574","4554","8373","10872","189895","7411","3287","996"
"32(1,H4)","Unknown6","60703","4021","62010","14228","5156","38378","88581","309296","2849","5671","11089","11598","387137","3356","3766","1068"
"33(1,A5)","Unknown7","35293","2854","16345","6834","2911","6155","36470","200638","2283","4040","7589","5796","288082","9515","2183","973"
"34(1,B5)","Unknown8","21317","2643","44823","17414","3555","9089","24045","193803","2052","4196","8768","10248","337382","3218","2238","1155"
"35(1,C5)","Unknown9","61783","5228","51105","10709","3207","40142","87665","276836","2477","4283","9488","19269","504454","3354","2977","1107"
"36(1,D5)","Unknown10","76263","4939","124758","19218","2804","93862","178248","247155","2624","8745","12085","37800","352338","3028","5695","1116"
"37(1,E5)","Unknown11","15170","3558","43682","16073","3030","46121","57735","181207","2735","4474","12076","5943","198858","4361","3497","1022"
"38(1,F5)","Unknown12","70611","6078","43377","11423","2319","20450","91849","102788","2203","7576","9305","13028","365806","4856","5256","1013"
"39(1,G5)","Unknown13","38348","6961","71220","23667","3803","126798","157450","275228","2961","6314","11366","25144","432159","7913","6051","1297"
"40(1,H5)","Unknown14","22708","4105","62556","12852","4203","11885","72105","295083","2182","6193","9473","21415","427081","12558","2569","1196"
"41(1,A6)","Unknown7","34024","2380","18929","6052","3623","7257","37602","212953","2332","4364","9668","5056","298844","12117","3042","1303"
"42(1,B6)","Unknown8","25676","3230","41870","12329","4182","10914","24145","179089","2960","4196","9466","9320","350233","8892","2285","1152"
"43(1,C6)","Unknown9","68126","4298","43693","12403","2967","36478","92872","248193","2069","4544","10064","14305","538773","9461","3702","1139"
"44(1,D6)","Unknown10","86999","7288","125572","24970","2686","101948","221387","280502","2327","11403","13641","35232","329456","5446","4929","1205"
"45(1,E6)","Unknown11","26748","3031","39921","11884","3220","40980","54178","215323","2526","5061","11826","12327","251686","8734","3649","996"
"46(1,F6)","Unknown12","69965","5563","40549","16421","3347","25207","93014","139290","2363","6546","9428","19701","417235","7463","3019","1117"
"47(1,G6)","Unknown13","37262","7113","47762","13112","3226","71885","133225","229462","2901","5348","11176","14254","330182","8231","3492","1181"
"48(1,H6)","Unknown14","24706","3957","63828","11164","3956","27288","68037","333338","3225","4913","10067","14548","507522","12372","4635","952"
"49(1,A7)","Unknown15","53412","3469","15534","9356","2525","3940","111122","199048","2520","4283","9083","5370","179457","6712","4383","708"
"50(1,B7)","Unknown16","51622","3573","72984","18889","3367","16089","76690","318503","2472","4456","12349","16377","418879","3817","3870","1006"
"51(1,C7)","Unknown17","51554","3420","49962","18164","4122","39063","48925","252941","3093","7097","11826","17418","415128","12595","2335","1127"
"52(1,D7)","Unknown18","56972","3947","85759","27241","5686","69989","51756","285177","2463","5251","14217","21368","367480","10658","4291","1051"
"53(1,E7)","Unknown19","35885","5573","55445","12837","3958","53752","22640","232386","3100","5578","9857","6704","385925","3947","3157","1101"
"54(1,F7)","Unknown20","35251","7912","88853","16645","4380","53666","35821","275786","2273","6459","15779","13978","397754","4741","3476","1075"
"55(1,G7)","Unknown21","143458","4462","24672","15431","2423","6419","270592","278186","2474","5041","11143","7568","372801","5567","4022","1236"
"56(1,H7)","Unknown22","204287","3722","56394","39021","2680","13854","481023","326119","2278","6165","13102","20090","472753","5679","7136","1031"
"57(1,A8)","Unknown15","47696","2627","14539","7917","2427","5337","99521","184134","4376","4642","9644","6987","180387","7413","5239","1091"
"58(1,B8)","Unknown16","51296","1901","72742","25168","2743","18571","76755","345770","2329","5918","13893","14489","436192","8372","3576","1057"
"59(1,C8)","Unknown17","48969","3216","46637","16440","4023","40633","51455","255970","3243","8052","12878","25219","410202","6393","4635","1069"
"60(1,D8)","Unknown18","64429","6954","94657","26804","7725","74439","57757","356904","2617","10082","15128","15999","440641","15761","5925","1120"
"61(1,E8)","Unknown19","38617","5213","62293","6851","3291","50386","17845","170690","2472","9041","9675","15178","297577","4480","3225","1063"
"62(1,F8)","Unknown20","36155","6971","94838","16013","2632","55017","35208","262982","2135","5685","13413","10890","344637","4117","2516","1101"
"63(1,G8)","Unknown21","157658","2781","35403","13614","3098","18128","289955","284736","2630","5227","12864","8068","380400","8432","4465","1084"
"64(1,H8)","Unknown22","200486","2580","66622","44710","2787","19773","493191","248692","3367","6157","12346","13187","482532","9120","10657","1092"
"65(1,A9)","Unknown23","86029","5324","93895","36629","2100","109890","142335","293268","1860","4734","11332","7424","335277","6691","3936","1208"
"66(1,B9)","Unknown24","40091","9877","39848","9285","1859","55164","47033","193168","2141","7747","10081","19336","405987","5707","3344","1090"
"67(1,C9)","Unknown25","38784","4210","70797","8728","3946","42083","40670","281035","2861","6437","8941","14261","299022","11378","4301","1018"
"68(1,D9)","Unknown26","120029","6821","75711","11643","3635","103709","220174","364068","2193","6180","10498","27232","530808","8728","7861","974"
"69(1,E9)","Unknown27","41941","4018","42706","10933","3142","42675","43096","181699","2059","5371","9051","5845","313061","3408","5253","1111"
"70(1,F9)","Unknown28","52879","9548","47958","12388","2789","40927","70651","197672","2099","5052","9451","8718","348055","7933","3573","971"
"71(1,G9)","Unknown29","20971","5465","68720","26229","2624","78762","54833","240621","2320","5812","11356","16092","400153","9677","5700","1215"
"72(1,H9)","Unknown30","19229","5450","66154","10918","4731","34975","72865","273071","2186","5148","11114","21409","494604","3949","3960","1002"
"73(1,A10)","Unknown23","78513","5703","88452","38544","1855","98499","153619","231284","3432","10257","19346","38530","320147","7102","5912","1034"
"74(1,B10)","Unknown24","35651","5675","37930","20890","2775","57019","44525","175488","2378","7572","12622","15109","410924","4629","5143","977"
"75(1,C10)","Unknown25","44742","4859","110367","22742","3425","64656","62162","324449","2471","7149","9874","35814","420309","13136","5838","1145"
"76(1,D10)","Unknown26","116557","6440","84429","16396","2470","97626","239420","359026","2617","4942","12142","26707","453145","10669","17882","1030"
"77(1,E10)","Unknown27","46640","3226","62833","12865","3642","50195","53621","225072","2338","4462","11148","8718","415708","6418","4553","1120"
"78(1,F10)","Unknown28","62030","12068","61765","9258","2232","48467","91884","175238","2840","3952","13702","13661","340707","6070","3089","1174"
"79(1,G10)","Unknown29","24569","5463","86132","40800","3024","103592","51566","207864","3343","6270","11164","14843","394321","8256","4011","1073"
"80(1,H10)","Unknown30","18547","4199","88133","18152","3706","42365","89024","327133","2913","6068","11148","33791","572077","11561","5583","1096"
"81(1,A11)","Unknown31","78529","2530","37928","10663","2368","20597","128781","219716","2845","5584","10063","14244","322163","15811","3016","1338"
"82(1,B11)","Unknown32","37427","3550","34155","66124","3299","7747","30863","275651","3146","12132","12880","16191","498377","20529","2678","1023"
"83(1,C11)","Unknown33","59144","7431","104155","25195","3709","50943","86056","283857","2625","6416","12862","35554","523346","14213","4919","1149"
"84(1,D11)","Unknown34","116507","5586","82973","33972","3286","84885","318264","260614","2721","7256","12846","27297","414059","9662","11891","1201"
"85(1,E11)","Unknown35","52826","4538","60322","12074","3226","93554","86677","186373","2275","5697","11377","8731","280345","4841","4103","1029"
"86(1,F11)","Unknown36","57362","7312","52069","42041","4352","47233","42476","240994","2323","16703","12315","36281","536093","14200","2675","1184"
"87(1,G11)","Unknown37","251293","3095","39085","38277","3094","12819","608260","179576","2679","5478","15372","10493","451018","4366","7397","1155"
"88(1,H11)","Unknown38","59799","7376","62040","28962","2577","55072","46951","133613","2019","8400","9130","5535","331058","11450","5073","406"
"89(1,A12)","Unknown31","69088","2297","19705","9698","3087","15204","98755","212362","2281","4119","6173","10488","287319","12637","2418","1032"
"90(1,B12)","Unknown32","25686","2198","20879","27279","3159","8902","18519","197349","2797","8387","10096","11354","479243","13450","3576","1332"
"91(1,C12)","Unknown33","54362","5150","50268","8055","3153","30128","66528","282243","2372","3414","11584","19765","433917","12560","4810","893"
"92(1,D12)","Unknown34","80444","6709","46656","9440","4018","49982","198801","195959","2799","4544","8751","11829","269682","4724","5274","1029"
"93(1,E12)","Unknown35","57939","4842","55057","7256","2631","79656","86140","221913","1653","6543","10289","14288","281506","10683","3560","1133"
"94(1,F12)","Unknown36","52387","5824","44918","34530","2193","36867","35844","194236","2286","15024","12805","29569","420930","11106","4109","1090"
"95(1,G12)","Unknown37","177265","1820","33773","23542","2752","9090","582915","161150","1899","4448","11368","7163","365546","3015","5260","1170"
"96(1,H12)","Unknown38","59116","6441","56728","26686","2061","64040","49389","153447","2276","10286","13094","6056","438113","9689","3347","1015"


"DataType:","Trimmed Standard Deviation"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"1(1,A1)","Standard1","111997.5","350809.28125","154312.29688","310575.96875","265837.9375","1366314.625","221532.10938","242334.5","343948.1875","128325.82031","137098.79688","233380.34375","547650.8125","345420.875","305405.78125","1168"
"2(1,B1)","Standard2","73559.14062","272518.125","53133.82812","224303.64062","115385.74219","894385.75","234098.90625","237094.32812","200305.26562","116091.58594","85086.74219","210455.59375","348356.46875","136276.67188","200669.75","1061"
"3(1,C1)","Standard3","50084.8125","133324.96875","24775.83008","112660.99219","42999.00391","488624.46875","127879.75781","127883.46094","64420.25","81172.625","27047.55273","93796.89062","141478.90625","40859.12109","93895.05469","1075"
"4(1,D1)","Standard4","17434.84375","38765.63281","5378.12402","16949.25195","17333.5957","148800.32812","56030.73047","51905.16016","11085.37988","22994.85938","3975.19019","16898.03906","80799.88281","12897.26855","33141.07422","1158"
"5(1,E1)","Standard5","3987.09595","7418.34619","1826.01453","3493.93237","4418.8252","15198.30273","16212.55566","14512.16211","1490.59851","7604.4668","2596.04614","2824.39746","27058.38477","5499.38721","5240.37793","1018"
"6(1,F1)","Standard6","1047.91589","1237.31628","1167.62891","1674.13892","1182.06189","1811.7229","2190.39355","4582.59717","850.79517","1836.83093","2017.70715","1448.84888","12316.79199","2522.27075","842.5603","1002"
"7(1,G1)","Standard7","1276.61499","852.37134","1132.50562","1139.33557","738.71619","837.15271","757.44501","1639.25439","982.71082","914.25964","1725.96143","960.48193","6710.08398","1505.72913","927.82373","1264"
"8(1,H1)","Background0","1106.10986","1119.84119","1012.48035","1244.82227","946.82355","843.19604","1081.56396","909.57129","1036.33435","864.23584","2534.80273","937.99762","4920.91943","1290.90637","1045.86353","1152"
"9(1,A2)","Standard1","103322.88281","358776.46875","152448.29688","266975.6875","221330.79688","1140386.25","246925.20312","241593.46875","323809.90625","117169.99219","119397.53125","225533.95312","547587.8125","349006.40625","318413","1126"
"10(1,B2)","Standard2","79393.80469","286514.9375","61786.73438","268795.375","104520.125","997106.875","228092.59375","224117.90625","223070.04688","108367.55469","61871.75","189495.15625","339842.71875","128605.75","249867.89062","1103"
"11(1,C2)","Standard3","54004.39062","136587.29688","25627.71875","93791.17969","50233.75","537631.875","150392.32812","144864.46875","60198.89844","69021.21094","31884.42773","137978.51562","198647.82812","53197.12109","95402.52344","1070"
"12(1,D2)","Standard4","21030.8457","44752.00781","7919.96094","25966.37109","17182.02734","161444.57812","54071.57031","54415.07812","12464.85059","28587.87695","4775.65137","26620.48828","76829.30469","13928.15723","35451.60547","1061"
"13(1,E2)","Standard5","3047.85938","7872.81592","2048.74731","3064.17578","3360.09863","15904.08398","12384.04102","15228.80957","1491.37085","7652.92285","2278.53638","2403.38062","26347.94727","5360.89697","5362.96973","1257"
"14(1,F2)","Standard6","823.59277","1356.16736","1239.13306","1128.7782","1616.38965","2058.05908","2320.46387","4198.33545","825.69354","1871.52734","1874.70154","1170.58179","13568.61719","2971.92334","810.3822","1034"
"15(1,G2)","Standard7","875.1582","1188.94702","1125.13623","901.64471","536.21191","996.04694","748.6153","1205.40283","734.74707","788.62628","1840.64307","997.46503","7255.42627","1689.72266","856.45642","962"
"16(1,H2)","Background0","997.96948","1429.57068","1491.03455","862.82996","1002.68915","739.7395","1077.41614","1120.81677","961.80347","1430.54395","1745.60974","1239.04736","4639.17578","1299.78772","1412.51208","1216"
"17(1,A3)","Control1","16413.90039","34256.02344","6862.85449","30694.05078","16399.71289","224200.96875","75988.17969","45976.80859","8966.27344","40139.625","8481.26758","20832.10547","51640.21094","13382.46875","33092.94531","957"
"18(1,B3)","Control2","42918.14062","135292.70312","27032.16211","150639.23438","44012.09375","708840.0625","149825.29688","123684.27344","61493.89453","96944.17188","29175.04492","120420.08594","148498","42818.98828","122417.70312","1143"
"19(1,C3)","Unknown1","18226.49805","1089.85059","24198.88477","2945.06982","893.86304","11566.13184","14605.39355","145384","1593.78308","1132.30676","2005.0531","2442.19312","187243.23438","1995.99585","1645.9231","1335"
"20(1,D3)","Unknown2","20626.67188","1380.67603","20531.6582","7516.49756","1152.16528","17462.05859","16790.67188","147901.60938","1337.17639","1668.76526","3007.82837","3503.15576","264410.59375","3795.48511","1265.63342","1179"
"21(1,E3)","Unknown3","25224.25781","2120.26465","4962.90576","2468.98242","2120.63379","4307.64453","25896.02344","111494.875","1197.93738","1772.13367","2890.5105","1887.52075","158026.40625","2966.23462","1571.8551","1181"
"22(1,F3)","Unknown4","28893.84961","1119.40552","30359.70898","5829.65039","947.20007","6224.71143","21315.2832","177081.59375","1195.66321","1242.9884","3976.9751","4058.94604","264159.59375","4010.55103","1738.28796","1080"
"23(1,G3)","Unknown5","20852.10156","2034.67456","14386.76855","3859.71387","1419.08228","12035.33789","33563.22656","147862.28125","1039.48669","1437.4104","2724.37158","4375.81104","184469.76562","2411.91577","2185.44751","991"
"24(1,H3)","Unknown6","27145.08984","1755.54126","17826.96094","2816.36792","1525.09851","15935.52051","30251.06055","171825.51562","1271.48206","1324.90161","3416.6189","5073.05566","233495.96875","3508.71533","1308.74536","966"
"25(1,A4)","Control1","15607.51367","36780.16016","7123.40771","32494.07617","17488.52148","228233.1875","55844.15625","55281.87109","12480.75195","37206.98047","6261.01123","17499.59961","52055.34375","13010.85156","32686.54883","1181"
"26(1,B4)","Control2","49930.63672","131550.3125","28011.38086","131122.45312","53385.52734","784786.75","157470.04688","128252.28906","69306.03906","94260.91406","40541.89453","131363.5625","139833.78125","44010.625","117809.41406","1035"
"27(1,C4)","Unknown1","12917.08105","1138.03418","17212.27344","2372.97681","1376.89832","8722.25098","16538.21875","129874.63281","939.13074","1491.15906","2112.83325","2206.98389","152268.35938","1990.83752","978.24713","1203"
"28(1,D4)","Unknown2","11073.06738","1107.18066","10072.14551","2620.65186","1112.33936","8042.51318","7340.37939","148426.10938","1008.30597","1179.02051","2219.69336","1939.66235","157878.5","3009.5083","1820.12915","1007"
"29(1,E4)","Unknown3","29664.61523","2517.9502","5446.97656","2559.01807","1347.82178","1758.34155","24798.66016","120831.83594","1441.61731","1665.53027","3231.66333","1709.65332","165263.875","4013.25513","1396.57397","1314"
"30(1,F4)","Unknown4","27027.76758","1762.13403","27686.74414","5478.354","934.11707","6627.17139","22211.19141","167757.23438","1186.27844","1463.46704","2627.69653","4169.58496","269406.96875","3685.32837","1427.70691","1180"
