"Program","xPONENT","","Intelliflex"
"Build","2.1.1015"
"Date","2025-05-07","12:07"



"SN","IFLEXS22334001"
"Batch","Mouse Metabolic 5-7-25"
"Version","1"
"Operator",""
"ComputerName","INTELLIFLEX-PC"
"Country Code","409"
"ProtocolName",""
"ProtocolVersion","N/A"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"PanelName","Mouse Metabolic MMHE-44K [v1]"
"MaxSampleUptakeVolume","50 ul"
"DDGate","8000 to 15000"
"SampleTimeout","50 sec"
"BatchStartTime","2025-05-07 11:33"
"BatchStopTime","2025-05-07 12:06"
"BatchDescription",""
"ProtocolPlate","Name","","Type","96","Plates","1"
"ProtocolMicrosphere","Map","","Type","","Count",""
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"
"ProtocolOperatingMode","xMAP INTELLIFLEX® High Sensitivity"
"BeadType","MagPlex"
"PrePlateRoutine",""
"PostPlateRoutine","Wash"
"PostWellRoutine",""
"PlateReadDirection","Vertical"


"Most Recent Calibration and Control Results:"
"Last Calibration","Calibrated 05/07/2025 10:49"
"Last Verification","Verified 05/07/2025 10:53"
"Last Fluidics Test","Verified 05/07/2025 10:55"

"CALInfo:"
"Classification Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1 Calibrated","CL1 Gain Final Volts","CL2 Calibrated","CL2 Gain Final Volts","CL3 Calibrated","CL3 Gain Final Volts","EDR Gain Calibrated","EDR Gain Final Volts","Lx200 RP1 High Gain Calibrated","Lx200 RP1 High Gain Final Volts","Lx200 RP1 Low Gain Calibrated","Lx200 RP1 Low Gain Final Volts","DDMag Calibrated","DDMag Gain Final Volts","DDMicro Calibrated","DDMicro Gain Final Volts","Standard RP1 Gain Calibrated","Standard RP1 Gain Final Volts"
"C07684","07/09/2026 00:00","05/07/2025 10:49","True","82.50","True","86.38","True","82.09","True","83.68","True","564.28","True","459.32","True","55.08","True","83.64","True","578.18"

"Samples","96","Min Events","","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"30(1,F4)","Unknown4","68665.42969","4389.15283","80861.17969","21201.9375","4140.4248","19232.54688","59227.80078","247845.28125","3271.5791","5950.27295","12396.07227","16387.78711","497294.28125","9383.14844","3785.67456","1180"
"31(1,G4)","Unknown5","28858.14648","4147.17236","21075.0293","9589.64746","3241.12256","8782.70801","50528.10547","151743.04688","2685.88452","4860.70459","10731.95215","8745.39648","179112.09375","5712.63135","3334.38623","996"
"32(1,H4)","Unknown6","52307.85547","4683.56885","60853.76953","12740.51465","4850.51904","27663.88477","88593.48438","338487.34375","3163.31201","5133.71289","11111.61914","13241.69434","440786.75","8508.50586","3956.46997","1068"
"33(1,A5)","Unknown7","23443.39062","3058.56885","17049.91992","7000.11426","3247.97705","6769.78467","27302.1582","137664.95312","2923.97656","4337.46729","9505.59668","6745.17529","333605.375","9207.46387","3352.55615","973"
"34(1,B5)","Unknown8","21088.39648","3841.11963","42292.20703","13086.07324","3961.43066","18066.57422","22518.74805","178694.85938","2828.04639","4731.97314","10262.95215","8371.79688","315911.03125","5912.43994","3785.05249","1155"
"35(1,C5)","Unknown9","56662.38281","5213.9541","48890.35156","11164.46191","3417.55786","25322.86328","85890.67188","251968.23438","2915.46338","5229.57129","10327.02441","13905.23438","568182.0625","8350.54004","3962.21704","1107"
"36(1,D5)","Unknown10","66821.26562","6210.69434","132873.73438","20101.51172","3390.88965","81637.47656","186815.48438","219353.89062","2998.91357","9589.25391","12782.9082","26803.0918","341893.53125","6795.98145","5531.30713","1116"
"37(1,E5)","Unknown11","17041.99219","4090.36206","33820.375","10704.02539","3506.13281","30135.19336","40055.51172","152247.42188","2777.4187","4373.87109","11138.39453","9491.8877","153238.90625","5073.07129","3515.23901","1022"
"38(1,F5)","Unknown12","64798.55469","6050.23438","31687.89258","12584.95801","3480.22925","16313.05762","72540.89844","82564.97656","3269.44189","7618.81006","10952.51074","15300.77734","315527","5453.96875","5273.93066","1013"
"39(1,G5)","Unknown13","33159.26562","7494.88184","70931.88281","19261.29297","3977.22729","122499.20312","179620.90625","245143.39062","3005.74683","6283.0083","12061.96387","20660.02344","476647.65625","8341.8623","4959.65088","1297"
