MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL
,C57BL/6J,54,,,,,F,CHOW,285.86,273.76,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,55,,,,,F,CHOW,241.5,212.32,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,56,,,,,F,CHOW,257.02,238.22,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,57,,,,,F,CHOW,221.62,206.99,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,58,,,,,F,CHOW,253.77,241.1,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,59,,,,,F,CHOW,247.6,230.99,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,60,,,,,F,CHOW,223.54,212.58,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,61,,,,,F,CHOW,331.6,318.78,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,62,,,,,F,CHOW,305.46,289.7,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,63,,,,,F,CHOW,281.69,264.3,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,64,,,,,F,CHOW,318.56,310.1,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,65,,,,,F,CHOW,291.8,260.13,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,66,,,,,F,CHOW,311.43,291.8,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,67,,,,,F,CHOW,294.61,279.72,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,68,,,,,F,CHOW,261.3,244.07,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,69,,,,,F,CHOW,281.47,263.86,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,70,,,,,F,CHOW,270,252.7,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,71,,,,,F,CHOW,215.3,194.97,,11/7/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,49,,,,,F,CHOW,271.68,255.1,21.9,11/11/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
