Test,Animal,Stage,Apparatus,Date,Time,Segment of test,Familiar Object 1 ,Novel Object ,Familiar Object 2 ,Duration (s),Distance (m),Center : time (s),Periphery : time (s),Familiar Object 1 : time investigating (s),Familiar Object 1 : time oriented towards (s),Novel Object : time investigating (s),Familiar Object 2 : time investigating (s)
43,11,Recognition,NORT pod 3,7/16/2025,16:52,0 - 300 secs.,Front left,Back right,,300.0,10.703,16.8,282.1,10.0,121.8,80.0,
43,11,Recognition,NORT pod 3,7/16/2025,16:52,300 - 600 secs.,Front left,Back right,,300.0,13.351,50.7,240.0,27.7,93.3,57.0,
44,12,Recognition,NORT Pod 4,7/16/2025,16:52,0 - 300 secs.,Front left,Back right,,300.0,21.056,67.6,224.7,35.7,60.9,38.2,
44,12,Recognition,NORT Pod 4,7/16/2025,16:52,300 - 600 secs.,Front left,Back right,,300.0,18.318,69.5,219.3,28.6,62.8,39.9,
45,13,Recognition,NORT pod 1,7/16/2025,17:11,0 - 300 secs.,Front left,Back right,,300.0,8.276,7.1,262.2,12.3,128.9,8.0,
45,13,Recognition,NORT pod 1,7/16/2025,17:11,300 - 600 secs.,Front left,Back right,,300.0,11.606,40.8,238.8,20.4,76.3,22.2,
46,14,Recognition,NORT pod 2,7/16/2025,17:11,0 - 300 secs.,Front left,Back right,,300.0,21.174,39.9,230.7,33.8,68.9,16.5,
46,14,Recognition,NORT pod 2,7/16/2025,17:11,300 - 600 secs.,Front left,Back right,,300.0,18.140,42.2,229.1,26.9,56.9,17.6,
47,15,Recognition,NORT pod 3,7/16/2025,17:11,0 - 300 secs.,Front left,Back right,,300.0,68.573,17.8,282.0,5.8,27.0,18.5,
47,15,Recognition,NORT pod 3,7/16/2025,17:11,300 - 600 secs.,Front left,Back right,,300.0,65.629,38.1,260.7,10.3,34.1,30.3,
48,16,Recognition,NORT Pod 4,7/16/2025,17:11,0 - 300 secs.,Front left,Back right,,300.0,15.290,40.0,259.9,17.6,62.2,53.1,
48,16,Recognition,NORT Pod 4,7/16/2025,17:11,300 - 600 secs.,Front left,Back right,,300.0,9.231,69.1,226.7,10.5,44.0,83.8,
