MICE_ID_RAR_INDIVIDUAL,ID,STRAIN,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC,,,,,
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,13.1,4.29,,2/6/26,,21.65,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,13.67,6.09,,2/6/26,,15.43,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,12.42,4.81,,2/6/26,,15.78,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9444,CD-1,6A,,370-F,12/31/25,F,LFD,12.29,6.39,,2/6/26,,12.57,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9450,CD-1,6A,,370-F,12/31/25,M,LFD,9.9,4.36,,2/6/26,,11.19,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9453,CD-1,6A,,370-F,12/31/25,M,LFD,14,6.91,,2/6/26,,16.4,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9456,CD-1,6A,,370-F,1/2/26,F,LFD,11.3,4.93,,2/6/26,,15.63,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9432,CD-1,6A,,370-F,12/31/25,F,HFD,15.89,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A,,,,,
,9433,CD-1,6A,,370-F,12/31/25,F,HFD,16.83,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A,,,,,
,9437,CD-1,6A,,370-F,12/31/25,M,HFD,16.59,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A,,,,,
,9441,CD-1,6A,,370-F,12/31/25,M,HFD,17.62,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A,,,,,
,9449,CD-1,6A,,370-F,12/31/25,F,HFD,11.63,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A,,,,,
,9451,CD-1,6A,,370-F,12/31/25,M,HFD,14.06,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A,,,,,
,9452,CD-1,6A,,370-F,12/31/25,M,HFD,14.97,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A,,,,,
,9454,CD-1,6A,,370-F,1/2/26,M,HFD,13.93,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A,,,,,
,9455,CD-1,6A,,370-F,1/2/26,F,HFD,20.81,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12451i,,,,,,2409-42370A,,,,,
,9436,CD-1,6A,,370-F,12/31/25,F,LFD,15.13,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9438,CD-1,6A,,370-F,12/31/25,M,LFD,21.65,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9439,CD-1,6A,,370-F,12/31/25,M,LFD,15.43,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9443,CD-1,6A,,370-F,12/31/25,F,LFD,15.78,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9444,CD-1,6A,,370-F,12/31/25,F,LFD,12.57,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9450,CD-1,6A,,370-F,12/31/25,M,LFD,11.19,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9453,CD-1,6A,,370-F,12/31/25,M,LFD,16.4,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A,,,,,
,9456,CD-1,6A,,370-F,1/2/26,F,LFD,15.63,,,2/9/26,"Mice did not get fed on 2/9, staff misread calendar",,NO,D12450Hi,,,,,,2409-42370A,,,,,
