MICE_ID_RAR_INDIVIDUAL,ID,STRAIN,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
,9356,CD1,6A,,370-F,,F,HFD,11.68,4.59,23.38,5/7/25,,17.12,NO,D12451i,,,,,,2409-42370A
,9357,CD1,6A,,370-F,,F,HFD,10.89,3.33,23.81,5/7/25,,17.62,NO,D12451i,,,,,,2409-42370A
,9358,CD1,6A,,370-F,,M,HFD,11.11,3.26,27.47,5/7/25,,18.89,NO,D12451i,,,,,,2409-42370A
,9359,CD1,6A,,370-F,,F,HFD,10.79,2.44,20.74,5/7/25,,15.52,NO,D12451i,,,,,,2409-42370A
,9360,CD1,6A,,370-F,,F,HFD,11.91,4.34,21.2,5/7/25,,17.05,NO,D12451i,,,,,,2409-42370A
,9361,CD1,6A,,370-F,,M,HFD,11.92,9.48,14.24,5/7/25,,14.9,NO,D12451i,,,,,,2409-42370A
,9362,CD1,6A,,370-F,,M,HFD,10.93,2.81,25.32,5/7/25,,18.75,NO,D12451i,,,,,,2409-42370A
,9363,CD1,6A,,370-F,,F,HFD,12,4.94,20.75,5/7/25,,16.59,NO,D12451i,,,,,,2409-42370A
,9364,CD1,6A,,370-F,,M,HFD,10.1,2.33,23.9,5/7/25,,15.2,NO,D12451i,,,,,,2409-42370A
,9366,CD1,6A,,370-F,,M,LFD,10.04,3.4,24.13,5/7/25,,16.01,NO,D12450Hi,,,,,,2409-42370A
,9367,CD1,6A,,370-F,,F,LFD,11.66,5.89,17.28,5/7/25,,13.7,NO,D12450Hi,,,,,,2409-42370A
,9368,CD1,6A,,370-F,,M,LFD,9.23,2.21,21.73,5/7/25,,14.73,NO,D12450Hi,,,,,,2409-42370A
,9369,CD1,6A,,370-F,,F,LFD,11.98,11.97,13.2,5/7/25,,15.33,NO,D12450Hi,,,,,,2409-42370A
,9370,CD1,6A,,370-F,,F,LFD,10.37,4.1,21.93,5/7/25,,13.66,NO,D12450Hi,,,,,,2409-42370A
,9372,CD1,6A,,370-F,,F,LFD,11.84,6.32,17.56,5/7/25,,16.76,NO,D12450Hi,,,,,,2409-42370A
,9373,CD1,6A,,370-F,,M,LFD,11.04,3.42,25.44,5/7/25,,15.44,NO,D12450Hi,,,,,,2409-42370A
,9374,CD1,6A,,370-F,,M,LFD,11.66,5.83,23.08,5/7/25,,15.52,NO,D12450Hi,,,,,,2409-42370A
,9375,CD1,6A,,370-F,,F,LFD,11.2,5.97,19.6,5/7/25,,13.74,NO,D12450Hi,,,,,,2409-42370A
,9376,CD1,6A,,370-F,,M,LFD,9.25,2.45,24.3,5/7/25,,15.64,NO,D12450Hi,,,,,,2409-42370A
,9377,CD1,6A,,370-F,,M,LFD,11.12,4.19,25.6,5/7/25,,14.01,NO,D12450Hi,,,,,,2409-42370A
,9378,CD1,6A,,370-F,,F,LFD,12.24,6.67,18.91,5/7/25,,14.78,NO,D12450Hi,,,,,,2409-42370A
,9353,CD1,6A,,370-F,,M,HFD,17.52,9.96,,5/9/25,,14.47,NO,D12451i,,,,,,2409-42370A
,9354,CD1,6A,,370-F,,F,HFD,17.68,10.77,,5/9/25,,14.98,NO,D12451i,,,,,,2409-42370A
,9355,CD1,6A,,370-F,,M,HFD,17.37,9.6,,5/9/25,,14.86,NO,D12451i,,,,,,2409-42370A
,9356,CD1,6A,,370-F,,F,HFD,17.12,10.28,,5/9/25,,14.28,NO,D12451i,,,,,,2409-42370A
,9357,CD1,6A,,370-F,,F,HFD,17.62,11.66,,5/9/25,,14.34,NO,D12451i,,,,,,2409-42370A
,9358,CD1,6A,,370-F,,M,HFD,18.89,10.09,,5/9/25,,17.11,NO,D12451i,,,,,,2409-42370A
,9359,CD1,6A,,370-F,,F,HFD,15.52,9.04,,5/9/25,,16.23,NO,D12451i,,,,,,2409-42370A
,9360,CD1,6A,,370-F,,F,HFD,17.05,10.23,,5/9/25,,14.13,NO,D12451i,,,,,,2409-42370A
,9361,CD1,6A,,370-F,,M,HFD,14.9,6.67,,5/9/25,,16.83,NO,D12451i,,,,,,2409-42370A
,9362,CD1,6A,,370-F,,M,HFD,18.75,11.25,,5/9/25,,16.17,NO,D12451i,,,,,,2409-42370A
,9363,CD1,6A,,370-F,,F,HFD,16.59,10.49,,5/9/25,,17.21,NO,D12451i,,,,,,2409-42370A
,9364,CD1,6A,,370-F,,M,HFD,15.2,9.24,,5/9/25,,17.09,NO,D12451i,,,,,,2409-42370A
,9366,CD1,6A,,370-F,,M,LFD,16.01,7.19,,5/9/25,,14.38,NO,D12450Hi,,,,,,2409-42370A
,9367,CD1,6A,,370-F,,F,LFD,13.7,6.67,,5/9/25,,13.44,NO,D12450Hi,,,,,,2409-42370A
,9368,CD1,6A,,370-F,,M,LFD,14.73,6.6,,5/9/25,,14.34,NO,D12450Hi,,,,,,2409-42370A
,9369,CD1,6A,,370-F,,F,LFD,15.33,9.39,,5/9/25,,14.06,NO,D12450Hi,,,,,,2409-42370A
,9370,CD1,6A,,370-F,,F,LFD,13.66,6.41,,5/9/25,,13.95,NO,D12450Hi,,,,,,2409-42370A
,9372,CD1,6A,,370-F,,F,LFD,16.76,7.85,,5/9/25,,14.73,NO,D12450Hi,,,,,,2409-42370A
,9373,CD1,6A,,370-F,,M,LFD,15.44,6.07,,5/9/25,,15.07,NO,D12450Hi,,,,,,2409-42370A
,9374,CD1,6A,,370-F,,M,LFD,15.52,7.23,,5/9/25,,15.4,NO,D12450Hi,,,,,,2409-42370A
,9375,CD1,6A,,370-F,,F,LFD,13.74,6.52,,5/9/25,,14.72,NO,D12450Hi,,,,,,2409-42370A
,9376,CD1,6A,,370-F,,M,LFD,15.64,7.82,,5/9/25,,16.12,NO,D12450Hi,,,,,,2409-42370A
,9377,CD1,6A,,370-F,,M,LFD,14.01,5.72,,5/9/25,,15.03,NO,D12450Hi,,,,,,2409-42370A
,9378,CD1,6A,,370-F,,F,LFD,14.78,8.73,,5/9/25,,15.16,NO,D12450Hi,,,,,,2409-42370A
,9353,CD1,6A,,370-F,,M,HFD,14.47,2.87,,5/12/25,,31.45,NO,D12451i,,,,,,2409-42370A
,9354,CD1,6A,,370-F,,F,HFD,14.98,4.16,,5/12/25,,24.7,NO,D12451i,,,,,,2409-42370A
,9355,CD1,6A,,370-F,,M,HFD,14.86,5.56,,5/12/25,,20.58,NO,D12451i,,,,,,2409-42370A
,9356,CD1,6A,,370-F,,F,HFD,14.28,4.09,,5/12/25,,20.46,NO,D12451i,,,,,,2409-42370A
,9357,CD1,6A,,370-F,,F,HFD,14.34,4.24,,5/12/25,,19.8,NO,D12451i,,,,,,2409-42370A
,9358,CD1,6A,,370-F,,M,HFD,17.11,3.62,,5/12/25,,21.26,NO,D12451i,,,,,,2409-42370A
,9359,CD1,6A,,370-F,,F,HFD,16.23,5.8,,5/12/25,,20.19,NO,D12451i,,,,,,2409-42370A
,9360,CD1,6A,,370-F,,F,HFD,14.13,3.67,,5/12/25,,19.77,NO,D12451i,,,,,,2409-42370A
,9361,CD1,6A,,370-F,,M,HFD,16.83,8.51,,5/12/25,,20.31,NO,D12451i,,,,,,2409-42370A
,9362,CD1,6A,,370-F,,M,HFD,16.17,6.68,,5/12/25,,20.57,NO,D12451i,,,,,,2409-42370A
,9363,CD1,6A,,370-F,,F,HFD,17.21,8.35,,5/12/25,,21.58,NO,D12451i,,,,,,2409-42370A
,9364,CD1,6A,,370-F,,M,HFD,17.09,7.99,,5/12/25,,20.33,NO,D12451i,,,,,,2409-42370A
,9366,CD1,6A,,370-F,,M,LFD,14.38,1.82,,5/12/25,,24.69,NO,D12450Hi,,,,,,2409-42370A
,9367,CD1,6A,,370-F,,F,LFD,13.44,3.81,,5/12/25,,23.25,NO,D12450Hi,,,,,,2409-42370A
,9368,CD1,6A,,370-F,,M,LFD,14.34,3.02,,5/12/25,,19.7,NO,D12450Hi,,,,,,2409-42370A
,9369,CD1,6A,,370-F,,F,LFD,14.06,4.67,,5/12/25,,19.53,NO,D12450Hi,,,,,,2409-42370A
,9370,CD1,6A,,370-F,,F,LFD,13.95,1.77,,5/12/25,,20.06,NO,D12450Hi,,,,,,2409-42370A
,9372,CD1,6A,,370-F,,F,LFD,14.73,1.46,,5/12/25,,21.02,NO,D12450Hi,,,,,,2409-42370A
,9373,CD1,6A,,370-F,,M,LFD,15.07,0.48,,5/12/25,,24.13,NO,D12450Hi,,,,,,2409-42370A
,9374,CD1,6A,,370-F,,M,LFD,15.4,1.32,,5/12/25,,25.79,NO,D12450Hi,,,,,,2409-42370A
,9375,CD1,6A,,370-F,,F,LFD,14.72,3.99,,5/12/25,,23.76,NO,D12450Hi,,,,,,2409-42370A
,9376,CD1,6A,,370-F,,M,LFD,16.12,5.14,,5/12/25,,18.23,NO,D12450Hi,,,,,,2409-42370A
,9377,CD1,6A,,370-F,,M,LFD,15.03,2.71,,5/12/25,,24.17,NO,D12450Hi,,,,,,2409-42370A
,9378,CD1,6A,,370-F,,F,LFD,15.16,5.97,,5/12/25,,21.85,NO,D12450Hi,,,,,,2409-42370A
,9353,CD1,6A,,370-F,,M,HFD,31.45,24.09,30.2,5/14/25,,18.15,NO,D12451i,,,,,,2409-42370A
,9354,CD1,6A,,370-F,,F,HFD,24.7,18.01,25.71,5/14/25,,21.21,NO,D12451i,,,,,,2409-42370A
,9355,CD1,6A,,370-F,,M,HFD,20.58,13.8,23.2,5/14/25,,20.72,NO,D12451i,,,,,,2409-42370A
,9356,CD1,6A,,370-F,,F,HFD,20.46,13.56,27.64,5/14/25,,21.57,NO,D12451i,,,,,,2409-42370A
,9357,CD1,6A,,370-F,,F,HFD,19.8,12.52,29.16,5/14/25,,19.09,NO,D12451i,,,,,,2409-42370A
,9358,CD1,6A,,370-F,,M,HFD,21.26,11.77,34.9,5/14/25,,21.56,NO,D12451i,,,,,,2409-42370A
,9359,CD1,6A,,370-F,,F,HFD,20.19,13.69,22.7,5/14/25,,20.52,NO,D12451i,,,,,,2409-42370A
,9360,CD1,6A,,370-F,,F,HFD,19.77,13.66,24.26,5/14/25,,21.02,NO,D12451i,,,,,,2409-42370A
,9361,CD1,6A,,370-F,,M,HFD,20.31,13.21,25.15,5/14/25,,21.63,NO,D12451i,,,,,,2409-42370A
,9362,CD1,6A,,370-F,,M,HFD,20.57,13.87,28.67,5/14/25,,20.8,NO,D12451i,,,,,,2409-42370A
,9363,CD1,6A,,370-F,,F,HFD,21.58,15.16,23,5/14/25,,21.17,NO,D12451i,,,,,,2409-42370A
,9364,CD1,6A,,370-F,,M,HFD,20.33,13.66,26.2,5/14/25,,22.16,NO,D12451i,,,,,,2409-42370A
,9366,CD1,6A,,370-F,,M,LFD,24.69,17.61,29.61,5/14/25,,21.63,NO,D12450Hi,,,,,,2409-42370A
,9367,CD1,6A,,370-F,,F,LFD,23.25,17.2,21.02,5/14/25,,20.94,NO,D12450Hi,,,,,,2409-42370A
,9368,CD1,6A,,370-F,,M,LFD,19.7,12.06,24.93,5/14/25,,20.52,NO,D12450Hi,,,,,,2409-42370A
,9369,CD1,6A,,370-F,,F,LFD,19.53,12.31,21.05,5/14/25,,22.5,NO,D12450Hi,,,,,,2409-42370A
,9370,CD1,6A,,370-F,,F,LFD,20.06,13.02,25.53,5/14/25,,22,NO,D12450Hi,,,,,,2409-42370A
,9372,CD1,6A,,370-F,,F,LFD,21.02,12.29,24.86,5/14/25,,22.3,NO,D12450Hi,,,,,,2409-42370A
,9373,CD1,6A,,370-F,,M,LFD,24.13,16.32,30.48,5/14/25,,20.05,NO,D12450Hi,,,,,,2409-42370A
,9374,CD1,6A,,370-F,,M,LFD,25.79,17.6,30.1,5/14/25,,19.12,NO,D12450Hi,,,,,,2409-42370A
,9375,CD1,6A,,370-F,,F,LFD,23.76,17.28,23.22,5/14/25,,20.33,NO,D12450Hi,,,,,,2409-42370A
,9376,CD1,6A,,370-F,,M,LFD,18.23,11.63,27.63,5/14/25,,19.72,NO,D12450Hi,,,,,,2409-42370A
,9377,CD1,6A,,370-F,,M,LFD,24.17,16.09,29.38,5/14/25,,22.41,NO,D12450Hi,,,,,,2409-42370A
,9378,CD1,6A,,370-F,,F,LFD,21.85,15.2,21.53,5/14/25,,23.74,NO,D12450Hi,,,,,,2409-42370A
,9353,CD1,6A,,370-F,,M,HFD,18.15,11.33,,5/16/25,,15.29,NO,D12451i,,,,,,2409-42370A
,9354,CD1,6A,,370-F,,F,HFD,21.21,15.16,,5/16/25,,17,NO,D12451i,,,,,,2409-42370A
,9355,CD1,6A,,370-F,,M,HFD,20.72,14.26,,5/16/25,,16.32,NO,D12451i,,,,,,2409-42370A
,9356,CD1,6A,,370-F,,F,HFD,21.57,16.64,,5/16/25,,17.89,NO,D12451i,,,,,,2409-42370A
,9357,CD1,6A,,370-F,,F,HFD,19.09,13.05,,5/16/25,,16.2,NO,D12451i,,,,,,2409-42370A
,9358,CD1,6A,,370-F,,M,HFD,21.56,14.58,,5/16/25,,16.58,NO,D12451i,,,,,,2409-42370A
,9359,CD1,6A,,370-F,,F,HFD,20.52,15.49,,5/16/25,,14.56,NO,D12451i,,,,,,2409-42370A
,9360,CD1,6A,,370-F,,F,HFD,21.02,14.85,,5/16/25,,16.42,NO,D12451i,,,,,,2409-42370A
,9361,CD1,6A,,370-F,,M,HFD,21.63,14.38,,5/16/25,,15.31,NO,D12451i,,,,,,2409-42370A
,9362,CD1,6A,,370-F,,M,HFD,20.8,19.08,,5/16/25,,16.05,NO,D12451i,,,,,,2409-42370A
,9363,CD1,6A,,370-F,,F,HFD,21.17,17.07,,5/16/25,,14.81,NO,D12451i,,,,,,2409-42370A
,9364,CD1,6A,,370-F,,M,HFD,22.16,16.52,,5/16/25,,16.64,NO,D12451i,,,,,,2409-42370A
,9366,CD1,6A,,370-F,,M,LFD,21.63,14.94,,5/16/25,,16.46,NO,D12450Hi,,,,,,2409-42370A
,9367,CD1,6A,,370-F,,F,LFD,20.94,16.46,,5/16/25,,17.03,NO,D12450Hi,,,,,,2409-42370A
,9368,CD1,6A,,370-F,,M,LFD,20.52,14.48,,5/16/25,,16.28,NO,D12450Hi,,,,,,2409-42370A
,9369,CD1,6A,,370-F,,F,LFD,22.5,16.99,,5/16/25,,16.52,NO,D12450Hi,,,,,,2409-42370A
,9370,CD1,6A,,370-F,,F,LFD,22,15.62,,5/16/25,,18.94,NO,D12450Hi,,,,,,2409-42370A
,9372,CD1,6A,,370-F,,F,LFD,22.3,16.75,,5/16/25,,15.71,NO,D12450Hi,,,,,,2409-42370A
,9373,CD1,6A,,370-F,,M,LFD,20.05,14.95,,5/16/25,,18.54,NO,D12450Hi,,,,,,2409-42370A
,9374,CD1,6A,,370-F,,M,LFD,19.12,11.69,,5/16/25,,16.9,NO,D12450Hi,,,,,,2409-42370A
,9375,CD1,6A,,370-F,,F,LFD,20.33,14.69,,5/16/25,,14.87,NO,D12450Hi,,,,,,2409-42370A
,9376,CD1,6A,,370-F,,M,LFD,19.72,16.8,,5/16/25,,16.09,NO,D12450Hi,,,,,,2409-42370A
,9377,CD1,6A,,370-F,,M,LFD,22.41,17.73,,5/16/25,,15.75,NO,D12450Hi,,,,,,2409-42370A
,9378,CD1,6A,,370-F,,F,LFD,23.74,20.23,,5/16/25,,15.91,NO,D12450Hi,,,,,,2409-42370A
,9353,CD1,6A,,370-F,,M,HFD,15.29,4.72,,5/19/25,,14.82,NO,D12451i,,,,,,2409-42370A
,9354,CD1,6A,,370-F,,F,HFD,17,8.02,,5/19/25,,16.01,NO,D12451i,,,,,,2409-42370A
,9355,CD1,6A,,370-F,,M,HFD,16.32,4.18,,5/19/25,,15.19,NO,D12451i,,,,,,2409-42370A
,9356,CD1,6A,,370-F,,F,HFD,17.89,8.57,,5/19/25,,18.63,NO,D12451i,,,,,,2409-42370A
,9357,CD1,6A,,370-F,,F,HFD,16.2,9.63,,5/19/25,,16.33,NO,D12451i,,,,,,2409-42370A
,9358,CD1,6A,,370-F,,M,HFD,16.58,2.98,,5/19/25,,16.91,NO,D12451i,,,,,,2409-42370A
,9359,CD1,6A,,370-F,,F,HFD,14.56,6.42,,5/19/25,,17.43,NO,D12451i,,,,,,2409-42370A
,9360,CD1,6A,,370-F,,F,HFD,16.42,6.49,,5/19/25,,15.08,NO,D12451i,,,,,,2409-42370A
,9361,CD1,6A,,370-F,,M,HFD,15.31,3.28,,5/19/25,,17.59,NO,D12451i,,,,,,2409-42370A
,9362,CD1,6A,,370-F,,M,HFD,16.05,8.55,,5/19/25,,14.93,NO,D12451i,,,,,,2409-42370A
,9363,CD1,6A,,370-F,,F,HFD,14.81,6.4,,5/19/25,,17.32,NO,D12451i,,,,,,2409-42370A
,9364,CD1,6A,,370-F,,M,HFD,16.64,7.3,,5/19/25,,16.42,NO,D12451i,,,,,,2409-42370A
,9366,CD1,6A,,370-F,,M,LFD,16.46,3.9,,5/19/25,,15.59,NO,D12450Hi,,,,,,2409-42370A
,9367,CD1,6A,,370-F,,F,LFD,17.03,6.08,,5/19/25,,16.49,NO,D12450Hi,,,,,,2409-42370A
,9368,CD1,6A,,370-F,,M,LFD,16.28,4.96,,5/19/25,,15.74,NO,D12450Hi,,,,,,2409-42370A
,9369,CD1,6A,,370-F,,F,LFD,16.52,5.56,,5/19/25,,15.82,NO,D12450Hi,,,,,,2409-42370A
,9370,CD1,6A,,370-F,,F,LFD,18.94,8.79,,5/19/25,,16,NO,D12450Hi,,,,,,2409-42370A
,9372,CD1,6A,,370-F,,F,LFD,15.71,5.06,,5/19/25,,16.49,NO,D12450Hi,,,,,,2409-42370A
,9373,CD1,6A,,370-F,,M,LFD,18.54,7.16,,5/19/25,,16.49,NO,D12450Hi,,,,,,2409-42370A
,9374,CD1,6A,,370-F,,M,LFD,16.9,4,,5/19/25,,17.61,NO,D12450Hi,,,,,,2409-42370A
,9375,CD1,6A,,370-F,,F,LFD,14.87,5.25,,5/19/25,,16.98,NO,D12450Hi,,,,,,2409-42370A
,9376,CD1,6A,,370-F,,M,LFD,16.09,5.95,,5/19/25,,14.15,NO,D12450Hi,,,,,,2409-42370A
,9377,CD1,6A,,370-F,,M,LFD,15.75,4.84,,5/19/25,,15.3,NO,D12450Hi,,,,,,2409-42370A
,9378,CD1,6A,,370-F,,F,LFD,15.91,6.12,,5/19/25,,17.29,NO,D12450Hi,,,,,,2409-42370A
,9353,CD1,6A,,370-F,,M,HFD,14.82,7.41,33.7,5/21/25,,10.66,NO,D12451i,,,,,,2409-42370A
,9354,CD1,6A,,370-F,,F,HFD,16.01,9.64,28.08,5/21/25,,11.22,NO,D12451i,,,,,,2409-42370A
,9355,CD1,6A,,370-F,,M,HFD,15.19,6.64,31.83,5/21/25,,14.72,NO,D12451i,,,,,,2409-42370A
,9356,CD1,6A,,370-F,,F,HFD,18.63,12.84,27.77,5/21/25,,10.19,NO,D12451i,,,,,,2409-42370A
,9357,CD1,6A,,370-F,,F,HFD,16.33,10.19,28.61,5/21/25,,9.89,NO,D12451i,,,,,,2409-42370A
,9358,CD1,6A,,370-F,,M,HFD,16.91,8.25,38.71,5/21/25,,13.7,NO,D12451i,,,,,,2409-42370A
,9359,CD1,6A,,370-F,,F,HFD,17.43,11.82,21.14,5/21/25,,13.14,NO,D12451i,,,,,,2409-42370A
,9360,CD1,6A,,370-F,,F,HFD,15.08,7.77,25.95,5/21/25,,13.49,NO,D12451i,,,,,,2409-42370A
,9361,CD1,6A,,370-F,,M,HFD,17.59,9.22,32.32,5/21/25,,11.41,NO,D12451i,,,,,,2409-42370A
,9362,CD1,6A,,370-F,,M,HFD,14.93,8.73,30.37,5/21/25,,10.86,NO,D12451i,,,,,,2409-42370A
,9363,CD1,6A,,370-F,,F,HFD,17.32,10.62,21.5,5/21/25,,12.8,NO,D12451i,,,,,,2409-42370A
,9364,CD1,6A,,370-F,,M,HFD,16.42,10.96,28.33,5/21/25,,10.35,NO,D12451i,,,,,,2409-42370A
,9366,CD1,6A,,370-F,,M,LFD,15.59,8.48,31.28,5/21/25,,11.04,NO,D12450Hi,,,,,,2409-42370A
,9367,CD1,6A,,370-F,,F,LFD,16.49,10.42,21.55,5/21/25,,9.83,NO,D12450Hi,,,,,,2409-42370A
,9368,CD1,6A,,370-F,,M,LFD,15.74,7.91,27.15,5/21/25,,11.08,NO,D12450Hi,,,,,,2409-42370A
,9369,CD1,6A,,370-F,,F,LFD,15.82,10.04,24.88,5/21/25,,10.57,NO,D12450Hi,,,,,,2409-42370A
,9370,CD1,6A,,370-F,,F,LFD,16,9.25,27.25,5/21/25,,9.98,NO,D12450Hi,,,,,,2409-42370A
,9372,CD1,6A,,370-F,,F,LFD,16.49,7.93,26.51,5/21/25,,11.23,NO,D12450Hi,,,,,,2409-42370A
,9373,CD1,6A,,370-F,,M,LFD,16.49,8.67,30.07,5/21/25,,12.58,NO,D12450Hi,,,,,,2409-42370A
,9374,CD1,6A,,370-F,,M,LFD,17.61,8.71,33.46,5/21/25,,12.69,NO,D12450Hi,,,,,,2409-42370A
,9375,CD1,6A,,370-F,,F,LFD,16.98,10.46,24.33,5/21/25,,10.49,NO,D12450Hi,,,,,,2409-42370A
,9376,CD1,6A,,370-F,,M,LFD,14.15,7.26,29.4,5/21/25,,10.55,NO,D12450Hi,,,,,,2409-42370A
,9377,CD1,6A,,370-F,,M,LFD,15.3,7.46,30.63,5/21/25,,11.01,NO,D12450Hi,,,,,,2409-42370A
,9378,CD1,6A,,370-F,,F,LFD,17.29,10.98,20.53,5/21/25,,11.63,NO,D12450Hi,,,,,,2409-42370A
,9353,CD1,6A,,370-F,,M,HFD,10.66,3.56,,5/23/25,,13.72,NO,D12451i,,,,,,2409-42370A
,9354,CD1,6A,,370-F,,F,HFD,11.22,4.76,,5/23/25,,14.5,NO,D12451i,,,,,,2409-42370A
,9355,CD1,6A,,370-F,,M,HFD,14.72,7.52,,5/23/25,,16.41,NO,D12451i,,,,,,2409-42370A
,9356,CD1,6A,,370-F,,F,HFD,10.19,2.89,,5/23/25,,18.68,NO,D12451i,,,,,,2409-42370A
,9357,CD1,6A,,370-F,,F,HFD,9.89,4.52,,5/23/25,,14,NO,D12451i,,,,,,2409-42370A
,9358,CD1,6A,,370-F,,M,HFD,13.7,6.96,,5/23/25,,16.11,NO,D12451i,,,,,,2409-42370A
,9359,CD1,6A,,370-F,,F,HFD,13.14,6.97,,5/23/25,,16.24,NO,D12451i,,,,,,2409-42370A
,9360,CD1,6A,,370-F,,F,HFD,13.49,6.39,,5/23/25,,17.56,NO,D12451i,,,,,,2409-42370A
,9361,CD1,6A,,370-F,,M,HFD,11.41,3.96,,5/23/25,,14.47,NO,D12451i,,,,,,2409-42370A
,9362,CD1,6A,,370-F,,M,HFD,10.86,3.36,,5/23/25,,14.43,NO,D12451i,,,,,,2409-42370A
,9363,CD1,6A,,370-F,,F,HFD,12.8,5.09,,5/23/25,,15.53,NO,D12451i,,,,,,2409-42370A
,9364,CD1,6A,,370-F,,M,HFD,10.35,4.22,,5/23/25,,16.86,NO,D12451i,,,,,,2409-42370A
,9366,CD1,6A,,370-F,,M,LFD,11.04,1.8,,5/23/25,,21.03,NO,D12450Hi,,,,,,2409-42370A
,9367,CD1,6A,,370-F,,F,LFD,9.83,3.07,,5/23/25,,17.68,NO,D12450Hi,,,,,,2409-42370A
,9368,CD1,6A,,370-F,,M,LFD,11.08,2.97,,5/23/25,,15.93,NO,D12450Hi,,,,,,2409-42370A
,9369,CD1,6A,,370-F,,F,LFD,10.57,3.59,,5/23/25,,16.48,NO,D12450Hi,,,,,,2409-42370A
,9370,CD1,6A,,370-F,,F,LFD,9.98,4.02,,5/23/25,,16.76,NO,D12450Hi,,,,,,2409-42370A
,9372,CD1,6A,,370-F,,F,LFD,11.23,4.5,,5/23/25,,16.28,NO,D12450Hi,,,,,,2409-42370A
