ID,SABLE,STRAIN,SEX,DIET_FORMULA,total_pedmeters,GROUP,DRUG
3725,BW regain,NZO/HlLtJ,F,D12450Ki,68.1638695,restricted,vehicle
3725,baseline,NZO/HlLtJ,F,D12450Ki,21.062754000000005,restricted,vehicle
3725,peak obesity,NZO/HlLtJ,F,D12450Ki,18.149473500000003,restricted,vehicle
3726,BW loss,NZO/HlLtJ,F,D12450Ki,29.095838954999998,ad lib,RTIOXA_47
3726,BW maintenance,NZO/HlLtJ,F,D12450Ki,92.30847770000001,ad lib,RTIOXA_47
3726,BW regain,NZO/HlLtJ,F,D12450Ki,33.59955388,ad lib,RTIOXA_47
3726,baseline,NZO/HlLtJ,F,D12450Ki,48.635582499999984,ad lib,RTIOXA_47
3726,peak obesity,NZO/HlLtJ,F,D12450Ki,23.6035015,ad lib,RTIOXA_47
3727,BW loss,NZO/HlLtJ,F,D12450Ki,62.69740879999997,restricted,vehicle
3727,BW maintenance,NZO/HlLtJ,F,D12450Ki,81.05738450000004,restricted,vehicle
3727,BW regain,NZO/HlLtJ,F,D12450Ki,53.28436825,restricted,vehicle
3727,baseline,NZO/HlLtJ,F,D12450Ki,35.781094100000004,restricted,vehicle
3727,peak obesity,NZO/HlLtJ,F,D12450Ki,35.93955150000001,restricted,vehicle
3728,BW loss,NZO/HlLtJ,F,D12450Ki,59.66999099999998,restricted,vehicle
3728,BW maintenance,NZO/HlLtJ,F,D12450Ki,91.37497250000007,restricted,vehicle
3728,BW regain,NZO/HlLtJ,F,D12450Ki,92.2317515,restricted,vehicle
3728,baseline,NZO/HlLtJ,F,D12450Ki,28.33754319999999,restricted,vehicle
3728,peak obesity,NZO/HlLtJ,F,D12450Ki,30.296561499999992,restricted,vehicle
3729,BW loss,NZO/HlLtJ,F,D12450Ki,59.955604850000014,restricted,RTIOXA_47
3729,BW maintenance,NZO/HlLtJ,F,D12450Ki,72.45581150000002,restricted,RTIOXA_47
3729,BW regain,NZO/HlLtJ,F,D12450Ki,77.85721419999999,restricted,RTIOXA_47
3729,baseline,NZO/HlLtJ,F,D12450Ki,27.826523499999993,restricted,RTIOXA_47
3729,peak obesity,NZO/HlLtJ,F,D12450Ki,25.282648499999997,restricted,RTIOXA_47
7872,BW loss,C57BL6/J,F,D12451i,294.23184099499997,restricted,vehicle
7872,BW maintenance,C57BL6/J,F,D12451i,337.029012,restricted,vehicle
7872,BW regain,C57BL6/J,F,D12451i,175.45838220000002,restricted,vehicle
7872,peak obesity,C57BL6/J,F,D12451i,204.492565,restricted,vehicle
7873,BW loss,C57BL6/J,F,D12451i,108.697982,ad lib,RTIOXA_47
7873,BW maintenance,C57BL6/J,F,D12451i,141.37706351999992,ad lib,RTIOXA_47
7873,BW regain,C57BL6/J,F,D12451i,111.765800665,ad lib,RTIOXA_47
7873,peak obesity,C57BL6/J,F,D12451i,92.99346,ad lib,RTIOXA_47
7874,BW loss,C57BL6/J,F,D12451i,197.72031104000013,restricted,RTIOXA_47
7874,BW maintenance,C57BL6/J,F,D12451i,262.51222822500006,restricted,RTIOXA_47
7874,BW regain,C57BL6/J,F,D12451i,85.9317806,restricted,RTIOXA_47
7874,peak obesity,C57BL6/J,F,D12451i,159.83935999999994,restricted,RTIOXA_47
7876,BW loss,C57BL6/J,F,D12451i,197.54598749999997,ad lib,vehicle
7876,BW maintenance,C57BL6/J,F,D12451i,236.0246634999999,ad lib,vehicle
7876,BW regain,C57BL6/J,F,D12451i,142.88325229999998,ad lib,vehicle
7876,peak obesity,C57BL6/J,F,D12451i,266.0610547,ad lib,vehicle
7877,BW loss,C57BL6/J,F,D12451i,359.1625611499999,restricted,RTIOXA_47
7877,BW maintenance,C57BL6/J,F,D12451i,280.6708750999998,restricted,RTIOXA_47
7877,BW regain,C57BL6/J,F,D12451i,144.7545852,restricted,RTIOXA_47
7877,peak obesity,C57BL6/J,F,D12451i,207.9629949999999,restricted,RTIOXA_47
7878,BW loss,C57BL6/J,F,D12451i,297.68800739999983,restricted,vehicle
7878,BW maintenance,C57BL6/J,F,D12451i,257.19589974999997,restricted,vehicle
7878,BW regain,C57BL6/J,F,D12451i,170.55723131999997,restricted,vehicle
7878,peak obesity,C57BL6/J,F,D12451i,210.87052,restricted,vehicle
7879,BW loss,C57BL6/J,F,D12451i,202.67477085000002,ad lib,RTIOXA_47
7879,BW maintenance,C57BL6/J,F,D12451i,162.33081774999988,ad lib,RTIOXA_47
7879,BW regain,C57BL6/J,F,D12451i,18.7156555,ad lib,RTIOXA_47
7879,peak obesity,C57BL6/J,F,D12451i,205.39885499999997,ad lib,RTIOXA_47
7875,BW loss,C57BL6/J,F,D12451i,175.4290434999997,ad lib,vehicle
7875,BW maintenance,C57BL6/J,F,D12451i,186.9956075,ad lib,vehicle
7875,BW regain,C57BL6/J,F,D12451i,104.01995246000001,ad lib,vehicle
7875,peak obesity,C57BL6/J,F,D12451i,186.7969454999997,ad lib,vehicle
7880,BW loss,C57BL6/J,F,D12450Ki,187.38679315000002,ad lib,vehicle
7880,BW maintenance,C57BL6/J,F,D12450Ki,148.78021499999994,ad lib,vehicle
7880,BW regain,C57BL6/J,F,D12450Ki,100.90268994999998,ad lib,vehicle
7880,peak obesity,C57BL6/J,F,D12450Ki,93.411405,ad lib,vehicle
7881,BW loss,C57BL6/J,F,D12450Ki,299.72100819999986,ad lib,vehicle
7881,BW maintenance,C57BL6/J,F,D12450Ki,195.67853889999992,ad lib,vehicle
7881,BW regain,C57BL6/J,F,D12450Ki,118.50310149999999,ad lib,vehicle
7881,peak obesity,C57BL6/J,F,D12450Ki,221.8679249999999,ad lib,vehicle
7883,BW loss,C57BL6/J,F,D12450Ki,204.8275261649999,ad lib,vehicle
7883,BW maintenance,C57BL6/J,F,D12450Ki,181.87501525000002,ad lib,vehicle
7883,BW regain,C57BL6/J,F,D12450Ki,141.17468105000006,ad lib,vehicle
7883,peak obesity,C57BL6/J,F,D12450Ki,259.52232499999997,ad lib,vehicle
7882,BW loss,C57BL6/J,F,D12450Ki,303.8276300000001,ad lib,vehicle
7882,BW maintenance,C57BL6/J,F,D12450Ki,158.5953602550001,ad lib,vehicle
7882,BW regain,C57BL6/J,F,D12450Ki,137.75898955000002,ad lib,vehicle
7882,peak obesity,C57BL6/J,F,D12450Ki,214.58229999999992,ad lib,vehicle
