Subject,BW,8/27/25 11:00,8/27/25 12:00,8/27/25 13:00,8/27/25 14:00,8/27/25 15:00,8/27/25 16:00,8/27/25 17:00,8/27/25 18:00,8/27/25 19:00,8/27/25 20:00,8/27/25 21:00,8/27/25 22:00,8/27/25 23:00,8/28/25 0:00,8/28/25 1:00,8/28/25 2:00,8/28/25 3:00,8/28/25 4:00,8/28/25 5:00,8/28/25 6:00,8/28/25 7:00,8/28/25 8:00,8/28/25 9:00,8/28/25 10:00,8/28/25 11:00,8/28/25 12:00,8/28/25 13:00,8/28/25 14:00,8/28/25 15:00,8/28/25 16:00,8/28/25 17:00,8/28/25 18:00,8/28/25 19:00,8/28/25 20:00,8/28/25 21:00,8/28/25 22:00,8/28/25 23:00,8/29/25 0:00,8/29/25 1:00,8/29/25 2:00,8/29/25 3:00,8/29/25 4:00,8/29/25 5:00,8/29/25 6:00,8/29/25 7:00,8/29/25 8:00,8/29/25 9:00,8/29/25 10:00
63,31.33,0.867487575,0.856350217,0.87012402,0.829313783,0.8135394,0.87935345,0.850356367,0.87578988,0.8447561,0.883684817,0.825843533,0.83111198,0.8203214,0.83183725,0.84366105,0.77223464,0.82256305,0.79948825,0.781356917,0.85406842,0.878847983,0.86793005,0.856886433,0.917669,0.829396133,0.895613283,0.878381683,0.84329894,0.878973467,0.868257483,0.8619322,0.869863733,0.85307556,0.86557765,0.86565055,0.846547017,0.84920982,0.799790783,0.787074667,0.824500517,0.78455298,0.838341733,0.844855983,0.883051417,0.8467745,0.854343483,0.87507215,0.88717105
64,41.43,0.85365235,0.869452117,0.87458934,0.870651217,0.8381906,0.877681583,0.8640512,0.877017033,0.884919667,0.84901425,0.87162125,0.86536648,0.865512367,0.868907283,0.86894745,0.82975584,0.8311898,0.791897717,0.778040533,0.79731126,0.785311933,0.8364651,0.872600433,0.8167865,0.802146167,0.8381377,0.7965173,0.79537666,0.86800535,0.84982825,0.841676367,0.8888366,0.892379083,0.852793067,0.855761333,0.886441383,0.87454358,0.855413467,0.834287683,0.817397383,0.82998614,0.882037817,0.8611975,0.869947083,0.87100242,0.879674033,0.825783067,0.82345605
66,39.86,0.8757835,0.886259683,0.90867036,0.891730383,0.790318233,0.807752683,0.89737588,0.921277683,0.8840592,0.861077767,0.95195758,0.890186517,0.856711,0.881898233,0.995036067,0.94927302,0.908551167,0.876822833,0.805809583,0.81782238,0.790331767,0.860974283,0.97278515,0.93359138,0.958576167,0.93110075,0.946918967,0.93418352,0.927741517,0.897357167,0.873483733,0.84755902,0.812867217,0.846697967,0.96295395,0.9208196,0.854520983,0.83048675,0.905136933,0.866255833,0.85967294,0.7987802,0.774370217,0.785162533,0.75464134,0.934523183,1.001744567,1.017885333
67,27.02,0.818238475,0.902697,0.91659972,0.986740017,0.923221367,0.844391333,0.88441728,0.93086705,1.0254365,1.029014167,0.9767352,0.967426633,0.971006917,1.007437783,0.98955294,1.001834533,0.885712167,0.848346933,0.925075367,1.00316384,1.0532235,1.036161333,1.033816,1.0425014,1.008884433,0.985966233,0.8765406,0.87369268,0.862403383,0.883727183,0.946004033,0.97855394,1.0599385,1.062541,1.039004833,1.01175834,1.016229433,1.019682767,1.008046817,0.97206782,0.885155617,0.88232495,0.997965383,0.993735933,1.03202798,0.983095133,0.975491283,1.023902167
68,34.71,0.906799975,0.862063133,0.8335342,0.835908717,0.8730855,0.8387132,0.8210064,0.819439717,0.7790894,0.880433867,0.87768936,0.980558767,1.008262133,1.010694183,1.01136172,1.004930783,1.010019933,0.99965285,0.98719124,0.9775396,1.024159333,1.002014833,1.004962067,1.0277878,1.010779133,0.998461,1.018697917,1.023984,1.01248935,1.004757783,0.954241683,0.90759806,0.993542783,1.012143983,1.022248667,1.022485,1.031817833,1.0371265,1.038122,1.0335808,1.038448667,1.036120833,1.035903167,1.04008,1.046208167,1.0354135,1.033969833,0.99949435
69,37.31,0.9461677,0.889071117,0.8731985,0.895613417,0.8633112,0.81983345,0.80911808,0.796816033,0.81850315,0.806523317,0.92420644,0.824856867,0.897504133,1.0427435,0.99156502,0.968928183,0.8627417,0.86803255,0.8202904,0.790133583,0.796401333,1.01794525,0.98998442,1.016346333,1.0512145,1.030776567,0.989845083,0.98718082,0.968186617,0.983465167,0.95802715,0.97763008,0.973682683,1.069165667,1.041779667,1.0582156,1.042908833,1.020585167,0.903453417,0.83515224,0.8353955,0.78764125,0.7686629,0.76674572,0.771843483,1.00825995,1.059886333,1.0627852
70,32.83,0.85616335,0.89445976,0.9132123,0.996115767,0.94900625,0.901110867,0.93728312,0.985272633,1.04411,1.001924183,0.95760754,0.93938345,0.977823817,0.9936695,0.9201027,0.85034255,0.772616167,0.799321,0.7765576,0.784508417,0.764216867,0.787072633,0.82014996,0.953218433,0.983833967,0.9024385,0.8481113,0.861099033,0.888820433,0.786150017,0.772651267,0.8117065,0.87494045,0.8653657,0.832228983,0.96088238,0.9362534,0.911860317,0.976845683,0.93242236,0.9451131,0.926758017,0.8782475,0.8509564,0.840650667,0.819264283,0.94731975,0.96255404
72,27.1,0.847749025,0.85791696,0.852065683,0.765054367,0.765528317,0.7895689,0.8539538,0.844207,0.966678317,0.943108017,0.92203846,0.983879317,0.938237867,0.882707417,0.7685818,0.9427545,0.8958133,0.83642305,0.81619984,0.79726775,0.764363567,0.756209167,0.76438174,0.955567,0.990994,0.9782155,0.97092568,0.996386317,0.9851905,0.970015733,0.99895816,0.955419433,0.98144305,1.026845,1.009300683,0.9628665,0.926287983,0.960442433,1.015496867,0.96041186,0.9822424,0.95936605,0.9356411,0.86051882,0.8152692,0.944110483,0.927949717,0.91190508
73,42.42,0.83593905,0.8404155,0.814397733,0.801989583,0.815137817,0.82967976,0.813421367,0.79366105,0.7720999,0.79779848,0.85051385,0.937539033,0.968742383,0.96675305,0.96852682,0.968950083,0.96814575,0.953467367,0.91668904,0.88402915,0.812266083,0.914528367,0.88254832,0.8671813,0.86955775,0.9159234,0.88215778,0.88321365,0.85309995,0.8424662,0.8111867,0.832284017,0.9588483,0.974075867,0.91827106,0.940583017,0.993883683,1.01010125,1.00277845,0.9321144,0.929944367,0.945174483,0.915408783,0.80080994,0.771309317,0.823061717,0.852455267,0.83953948
74,50.37,0.94241915,0.94905752,0.93636005,0.885460617,0.84555855,0.86475488,0.795334517,0.840364217,0.79879495,0.79680188,0.8516831,0.8865465,0.880300883,0.87587592,0.923952367,0.88791205,0.859080683,0.963911433,0.943806,0.919053917,0.908308967,0.842714317,0.8255529,0.844414483,0.809708617,0.7759165,0.76280116,0.830609333,0.903578483,0.904450733,0.90308336,0.88370865,0.820006083,0.787978983,0.8397863,0.954019467,0.943193267,0.999751583,0.97832298,0.957933283,1.00151265,1.0021286,0.960557167,0.89904474,0.804318033,0.811862033,0.934630583,0.88831928
