MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL,PROTOCOL_NUMBER_IACUC
B00002444010,C57BL/6J,4010,6A,L3,370-F,2/6/24,M,HFD,8.3,0.3,26.27,20.37,24.39,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444011,C57BL/6J,4011,6A,M3,370-F,2/6/24,M,HFD,8.3,0.3,29.12,22.16,23.55,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444012,C57BL/6J,4012,6A,N3,370-F,2/6/24,M,HFD,8.3,0.3,29.55,23.45,24.9,4/3/24,,,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444013,C57BL/6J,4013,6A,H4,370-F,2/6/24,M,LFD,8.3,0.3,25.73,25,22.6,4/3/24,,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444014,C57BL/6J,4014,6A,I4,370-F,2/6/24,M,LFD,8.3,0.3,25.26,25.16,24.4,4/3/24,,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444015,C57BL/6J,4015,6A,J4,370-F,2/6/24,M,LFD,8.3,0.3,25.01,22.74,23.33,4/3/24,,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002444016,C57BL/6J,4016,6A,K4,370-F,2/6/24,M,LFD,8.3,0.3,27.97,25.74,24.02,4/3/24,,,NO,D12450Hi_research_diets,24030810/2.5kgi ,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443993,C57BL/6J,3993,6A,H1,370-F,2/6/24,F,HFD,8.5,0.5,24.69,20.99,NA,4/5/24,,21.07,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443994,C57BL/6J,3994,6A,I1,370-F,2/6/24,F,HFD,8.5,0.5,22.1,17.97,NA,4/5/24,,20.47,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443995,C57BL/6J,3995,6A,J1,370-F,2/6/24,F,HFD,8.5,0.5,19.79,16.32,NA,4/5/24,,22.47,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
B00002443996,C57BL/6J,3996,6A,K1,370-F,2/6/24,F,HFD,8.5,0.5,25.06,20.38,NA,4/5/24,,20.7,NO,D12451i_research_diets,24030401/2.5kgi,JACKSON_LABORATORIES,664,,,2411-42540A
