MICE_ID_RAR_INDIVIDUAL,ID_MICE,RACK,LOCATION,COHORT,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,DAILY_FOOD_INTAKE_G,DAILY_FOOD_INTAKE_KCAL,BODY_WEIGHT_G,DATE,AIM,COMMENTS,FAT,LEAN,FREE_WATER,TOTAL_WATER,TIME_DATE_DURA,NEW_FOOD_END_SESSION_G,RESEARCH_DIET_FORMULA,LOT_FOOD,COMMENT_TWO
B00002447877,7877,6A,N4,2,7/9/24,F,HFD,9,1,13.62,9.19,2.215,10.47695,18.3,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447878,7878,6A,H5,2,7/9/24,F,HFD,9,1,13.99,9.25,2.37,11.2101,18.26,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447873,7873,6A,G5,2,7/9/24,F,HFD,9,1,17.75,12.05,2.85,13.4805,18.47,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447874,7874,6A,K5,2,7/9/24,F,HFD,9,1,13.72,8.85,2.435,11.51755,17.58,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447882,7882,6A,I9,2,7/9/24,F,LFD,9,1,13.61,5.31,4.15,15.853,18.43,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12450Ki,24080209i,NA
B00002447883,7883,6A,J9,2,7/9/24,F,LFD,9,1,12.88,6.65,3.115,11.8993,17.32,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12450Ki,24080209i,NA
B00002447875,7875,6A,L5,2,7/9/24,F,HFD,9,1,13.08,7.73,2.675,12.65275,18.03,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447879,7879,6A,M5,2,7/9/24,F,HFD,9,1,14.44,10.13,2.155,10.19315,17.05,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447864,7864,6A,K7,2,7/9/24,M,HFD,9,1,16.71,10.06,3.325,15.72725,25.4,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447865,7865,6A,L7,2,7/9/24,M,HFD,9,1,17.52,7.4,5.06,23.9338,27.43,9/11/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
