z,y,x
286.54437,33.98324,301.37265
303.31403,33.658714,301.39685
292.44125,34.00892,301.64517
287.41974,33.99779,302.20935
282.19073,33.95272,302.31842
287.01984,33.97783,303.15353
-12.979924,34.851044,303.48773
292.80295,34.078358,304.00134
305.91275,33.74527,304.89688
271.5321,34.07073,305.14618
298.5072,33.96531,305.56335
296.88525,34.049004,305.68835
298.07513,33.995945,305.78085
305.9568,33.771633,305.94818
288.92334,34.02865,306.31625
305.18338,33.812233,306.4894
299.3945,33.956127,306.40347
262.5054,33.88386,307.08713
288.94702,34.041977,307.1622
306.7893,33.778957,307.66867
268.32504,34.015503,307.7845
259.85638,33.777676,308.23242
285.12518,33.995552,308.3113
244.26852,33.9209,308.19153
300.21304,33.989807,308.52664
288.45343,34.05402,308.6461
289.11008,34.077023,309.2865
307.9427,33.719093,309.84116
287.85846,34.054886,310.34253
307.62762,33.73264,310.60214
305.8354,33.863808,310.60028
306.63272,33.802032,311.03186
244.8967,33.803272,311.17328
270.78818,33.99686,311.50574
264.72327,33.968235,311.48624
261.67435,33.858273,311.48788
259.87686,33.764362,312.44788
293.2098,34.1746,312.6656
292.0436,34.168,312.66806
294.71744,34.16726,313.19012
292.58664,34.173183,313.19583
281.1667,33.995895,313.37814
286.8779,34.02359,313.71353
295.40192,34.159134,314.46686
304.08368,33.90055,314.9454
262.70856,33.8921,315.07596
300.02197,34.069336,315.2515
265.25427,33.97024,315.17966
293.07584,34.166267,315.52066
290.97092,34.115677,315.8414
272.19327,33.97875,315.8211
264.32834,33.942783,316.245
298.32596,34.082222,316.52258
291.19907,34.109203,316.4795
290.1451,34.074776,316.59012
294.72775,34.14561,316.7003
305.40558,33.689625,316.85275
263.9264,33.922367,316.99207
303.16086,33.832542,317.26346
290.68692,34.077755,317.12088
287.82672,33.990875,317.1337
292.70435,34.1277,317.22113
169.42804,33.81737,317.9118
296.5215,34.084465,317.99564
299.79752,33.936386,318.32535
294.92392,34.079475,318.93848
285.1233,33.898483,319.16388
303.69666,33.596703,319.78534
283.7457,33.878674,319.80154
269.52573,33.93711,319.86847
270.68967,33.942852,319.96207
304.48438,33.520954,320.49695
305.2556,33.48499,320.58325
293.25772,34.00528,320.7477
297.71338,33.861572,320.8653
296.20663,33.910114,321.3031
287.8231,33.85626,321.2595
291.35907,33.925053,321.7967
289.9636,33.88768,321.89047
284.352,33.760704,322.3246
295.16843,33.868565,322.38022
259.1182,33.622856,322.41733
288.08813,33.777786,322.84714
294.77634,33.811127,323.23883
264.51666,33.84959,324.13397
293.7672,33.710182,324.5094
301.1319,33.469685,324.62494
300.37274,33.47992,324.85556
263.20007,33.784927,325.9389
266.2858,33.81685,326.81516
299.01938,33.42552,327.47028
290.28323,33.435913,328.24957
273.62186,33.702076,328.2256
273.4074,33.70239,328.33218
303.31775,33.319576,328.5161
301.65985,33.36342,328.40115
288.98434,33.427685,328.55536
258.0577,33.479317,328.51074
257.18213,33.417793,328.82315
265.5218,33.743927,328.85992
262.7683,33.697517,328.7466
258.51324,33.482777,329.15497
263.0412,33.636646,330.56158
-7.224431,34.397995,331.098
267.14978,33.657948,331.08597
279.5816,33.37565,331.54166
259.3701,33.430832,332.11362
294.39056,33.308716,333.14407
284.95474,33.29251,333.91766
258.55136,33.320644,334.40967
294.6382,33.27139,334.50427
258.49496,33.275352,336.30893
261.4682,33.374165,336.5314
234.52074,33.153023,336.42792
257.6176,33.22644,336.72546
