MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Failed_Retrieval_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2/15/2025 6:12:32,1.17.0,No-Uncertainty,8,3.58,nan,1,RightDuringDispense,LeftANDRight,15,42,0,7,0,nan,nan,403
2/15/2025 6:12:32,1.17.0,No-Uncertainty,8,3.57,nan,1,RightDuringDispense,LeftANDRight,15,43,0,7,0,nan,nan,83
2/15/2025 6:12:35,1.17.0,No-Uncertainty,8,3.57,nan,1,RightDuringDispense,LeftANDRight,15,44,0,7,0,nan,nan,202
2/15/2025 6:13:00,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,15,45,0,7,0,nan,nan,26
2/15/2025 6:13:04,1.17.0,No-Uncertainty,8,3.57,nan,1,RightWithPellet,LeftANDRight,15,46,0,7,0,nan,nan,105
2/15/2025 6:13:18,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,16,46,0,7,0,nan,nan,307
2/15/2025 6:13:19,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,17,46,0,7,0,nan,nan,647
2/15/2025 6:13:19,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,18,46,0,7,0,nan,nan,79
2/15/2025 6:13:26,1.17.0,No-Uncertainty,8,3.57,6,1,Pellet,LeftANDRight,18,46,0,8,0,42.24,419,nan
2/15/2025 6:13:42,1.17.0,No-Uncertainty,8,3.56,nan,1,Left,LeftANDRight,19,46,0,8,0,nan,nan,65
2/15/2025 6:13:52,1.17.0,No-Uncertainty,8,3.57,2,1,Pellet,LeftANDRight,19,46,0,9,0,7.72,26,nan
2/15/2025 6:14:35,1.17.0,No-Uncertainty,8,3.57,nan,1,Left,LeftANDRight,20,46,0,9,0,nan,nan,4
2/15/2025 6:18:37,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,21,46,0,9,0,nan,nan,615
2/15/2025 6:24:23,1.17.0,No-Uncertainty,8,3.57,7,1,Pellet,LeftANDRight,21,46,0,10,0,Timed_out,631,nan
2/15/2025 6:24:42,1.17.0,No-Uncertainty,8,3.57,nan,1,Right,LeftANDRight,21,47,0,10,0,nan,nan,729
2/15/2025 6:24:45,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,22,47,0,10,0,nan,nan,67
2/15/2025 6:25:19,1.17.0,No-Uncertainty,8,3.57,2,1,Pellet,LeftANDRight,22,47,0,11,0,35.29,56,nan
2/15/2025 6:30:45,1.17.0,No-Uncertainty,8,3.56,nan,1,Right,LeftANDRight,22,48,0,11,0,nan,nan,233
2/15/2025 6:30:45,1.17.0,No-Uncertainty,8,3.58,nan,1,RightinTimeout,LeftANDRight,22,49,0,11,0,nan,nan,0
2/15/2025 6:30:46,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,22,49,0,11,0,nan,nan,279
2/15/2025 6:30:46,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,22,49,0,11,0,nan,nan,561
2/15/2025 6:30:46,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,22,49,0,11,0,nan,nan,840
2/15/2025 6:30:46,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,22,49,0,11,0,nan,nan,1119
2/15/2025 6:30:47,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,22,49,0,11,0,nan,nan,1398
2/15/2025 6:31:26,1.17.0,No-Uncertainty,8,3.57,3,1,Pellet,LeftANDRight,22,49,0,12,0,35.83,367,nan
2/15/2025 6:33:30,1.17.0,No-Uncertainty,8,3.57,nan,1,Left,LeftANDRight,23,49,0,12,0,nan,nan,30
2/15/2025 6:33:32,1.17.0,No-Uncertainty,8,3.56,nan,1,LeftDuringDispense,LeftANDRight,24,49,0,12,0,nan,nan,176
2/15/2025 6:33:32,1.17.0,No-Uncertainty,8,3.56,nan,1,LeftWithPellet,LeftANDRight,25,49,0,12,0,nan,nan,107
2/15/2025 6:33:33,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,26,49,0,12,0,nan,nan,47
2/15/2025 6:33:33,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,27,49,0,12,0,nan,nan,83
2/15/2025 6:33:36,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,28,49,0,12,0,nan,nan,115
2/15/2025 6:33:37,1.17.0,No-Uncertainty,8,3.57,nan,1,LeftWithPellet,LeftANDRight,29,49,0,12,0,nan,nan,270
2/15/2025 6:33:39,1.17.0,No-Uncertainty,8,3.57,1,1,Pellet,LeftANDRight,29,49,0,13,0,7.24,133,nan
2/15/2025 6:37:43,1.17.0,No-Uncertainty,8,3.57,nan,1,Left,LeftANDRight,30,49,0,13,0,nan,nan,0
2/15/2025 6:37:47,1.17.0,No-Uncertainty,8,3.56,2,1,Pellet,LeftANDRight,30,49,0,14,0,1.76,248,nan
2/15/2025 6:38:38,1.17.0,No-Uncertainty,8,3.57,nan,1,Right,LeftANDRight,30,50,0,14,0,nan,nan,214
2/15/2025 6:38:38,1.17.0,No-Uncertainty,8,3.56,nan,1,RightinTimeout,LeftANDRight,30,51,0,14,0,nan,nan,0
2/15/2025 6:38:38,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,30,51,0,14,0,nan,nan,279
2/15/2025 6:38:39,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,30,51,0,14,0,nan,nan,558
2/15/2025 6:38:39,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,30,51,0,14,0,nan,nan,836
2/15/2025 6:38:39,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,30,51,0,14,0,nan,nan,1119
2/15/2025 6:38:40,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,30,51,0,14,0,nan,nan,1398
2/15/2025 6:38:40,1.17.0,No-Uncertainty,8,3.56,nan,1,RightinTimeout,LeftANDRight,30,51,0,14,0,nan,nan,1677
2/15/2025 6:38:40,1.17.0,No-Uncertainty,8,3.57,nan,1,RightinTimeout,LeftANDRight,30,51,0,14,0,nan,nan,1956
2/15/2025 6:38:41,1.17.0,No-Uncertainty,8,3.56,nan,1,RightDuringDispense,LeftANDRight,30,52,0,14,0,nan,nan,250
2/15/2025 6:38:42,1.17.0,No-Uncertainty,8,3.57,nan,1,RightDuringDispense,LeftANDRight,30,53,0,14,0,nan,nan,259
2/15/2025 6:38:42,1.17.0,No-Uncertainty,8,3.57,nan,1,RightDuringDispense,LeftANDRight,30,54,0,14,0,nan,nan,116
2/15/2025 6:38:42,1.17.0,No-Uncertainty,8,3.57,nan,1,RightDuringDispense,LeftANDRight,30,55,0,14,0,nan,nan,46
2/15/2025 6:38:43,1.17.0,No-Uncertainty,8,3.57,nan,1,RightDuringDispense,LeftANDRight,30,56,0,14,0,nan,nan,55
2/15/2025 6:39:32,1.17.0,No-Uncertainty,8,3.58,5,1,Pellet,LeftANDRight,30,56,0,15,0,42.21,105,nan
2/15/2025 6:48:04,1.17.0,No-Uncertainty,8,3.57,nan,1,Right,LeftANDRight,30,57,0,15,0,nan,nan,697
2/15/2025 6:51:11,1.17.0,No-Uncertainty,8,3.56,2,1,Pellet,LeftANDRight,30,57,0,16,0,Timed_out,699,nan
2/15/2025 7:39:00,1.17.0,No-Uncertainty,8,3.56,nan,1,Left,LeftANDRight,31,57,0,16,0,nan,nan,244
