"ID","KCAL","DATE"
7859,19.7112,2024-07-10
4017,16.555,2024-07-12
4018,17.4064,2024-07-12
4019,18.6835,2024-07-12
4020,15.7384,2024-07-12
4021,21.6594,2024-07-12
4022,18.4888,2024-07-12
7858,15.2306,2024-07-12
7859,17.6484,2024-07-12
4017,27.3867,2024-07-15
4018,27.0556,2024-07-15
4019,25.0217,2024-07-15
4020,31.133,2024-07-15
4021,23.7986,2024-07-15
4022,33.0812,2024-07-15
7858,26.6772,2024-07-15
7859,27.4276,2024-07-15
4017,25.1636,2024-07-17
4018,22.6567,2024-07-17
4019,23.1297,2024-07-17
4020,21.4684,2024-07-17
4021,23.5312,2024-07-17
4022,20.1696,2024-07-17
7858,21.8526,2024-07-17
7859,22.538,2024-07-17
4017,21.7107,2024-07-19
4018,14.9941,2024-07-19
4019,19.3457,2024-07-19
4020,20.055,2024-07-19
4021,20.055,2024-07-19
4022,24.5626,2024-07-19
7858,21.0012,2024-07-19
7859,19.8258,2024-07-19
4017,30.2247,2024-07-22
4018,30.9815,2024-07-22
4019,31.6437,2024-07-22
4020,30.369,2024-07-22
4021,33.6542,2024-07-22
4022,32.9284,2024-07-22
7858,27.434,2024-07-22
7859,28.459,2024-07-22
4017,26.0623,2024-07-24
4018,21.1904,2024-07-24
4019,23.2243,2024-07-24
4020,18.6798,2024-07-24
4021,23.875,2024-07-24
4022,21.8504,2024-07-24
7858,17.8321,2024-07-24
7859,23.0728,2024-07-24
4017,15.3252,2024-07-26
4018,12.5345,2024-07-26
4019,18.7781,2024-07-26
4020,19.9786,2024-07-26
4021,19.7876,2024-07-26
4022,24.83,2024-07-26
7858,21.4269,2024-07-26
7859,18.2596,2024-07-26
4017,28.4746,2024-07-29
4018,27.5759,2024-07-29
4019,28.6638,2024-07-29
4020,27.7332,2024-07-29
4021,26.6636,2024-07-29
4022,28.8792,2024-07-29
7858,23.4135,2024-07-29
7859,26.74,2024-07-29
4017,23.9338,2024-07-31
4018,19.0619,2024-07-31
4019,23.0824,2024-07-31
4020,10.7724,2024-07-31
4021,11.3072,2024-07-31
4022,20.3224,2024-07-31
7858,21.758,2024-07-31
7859,17.8012,2024-07-31
4017,18.7308,2024-08-02
4018,11.9196,2024-08-02
4019,14.8995,2024-08-02
4020,12.9116,2024-08-02
4021,20.819,2024-08-02
4022,19.2528,2024-08-02
7858,17.8794,2024-08-02
7859,19.0618,2024-08-02
4017,29.4679,2024-08-05
4018,25.4474,2024-08-05
4019,28.2381,2024-08-05
4020,30.2162,2024-08-05
4021,31.4768,2024-08-05
4022,31.9352,2024-08-05
7858,37.84,2024-08-05
7859,29.6814,2024-08-05
4017,21.9472,2024-08-07
4018,22.1837,2024-08-07
4019,17.5956,2024-08-07
4020,22.0414,2024-08-07
4021,25.7468,2024-08-07
4022,23.8368,2024-08-07
7858,22.8932,2024-08-07
7859,19.864,2024-08-07
4017,15.1833,2024-08-09
4018,13.5751,2024-08-09
4019,23.0824,2024-08-09
4020,20.819,2024-08-09
4021,17.5338,2024-08-09
4022,22.9964,2024-08-09
7858,13.1494,2024-08-09
7859,17.5338,2024-08-09
4017,31.8329,2024-08-12
4018,25.7785,2024-08-12
4019,30.7923,2024-08-12
4020,26.4726,2024-08-12
4021,31.4004,2024-08-12
4022,32.5846,2024-08-12
7858,28.4746,2024-08-12
7859,30.3308,2024-08-12
4017,20.1025,2024-08-14
4018,27.7178,2024-08-14
4019,20.8593,2024-08-14
4020,22.9582,2024-08-14
4021,22.156,2024-08-14
4022,21.6594,2024-08-14
7858,26.6772,2024-08-14
7859,23.875,2024-08-14
4017,16.8861,2024-08-16
4018,14.8049,2024-08-16
4019,18.1632,2024-08-16
4020,21.5066,2024-08-16
4021,19.1764,2024-08-16
4022,20.8572,2024-08-16
7858,18.0686,2024-08-16
7859,21.8122,2024-08-16
4017,35.002,2024-08-19
4018,27.8597,2024-08-19
4019,34.2925,2024-08-19
4020,30.5218,2024-08-19
4021,34.6856,2024-08-19
4022,32.852,2024-08-19
7858,28.6638,2024-08-19
7859,28.6118,2024-08-19
4017,21.0485,2024-08-21
4018,24.0284,2024-08-21
4019,22.4202,2024-08-21
4020,21.6976,2024-08-21
4021,23.7222,2024-08-21
4022,22.9582,2024-08-21
7858,22.5621,2024-08-21
7859,22.9582,2024-08-21
4017,20.9539,2024-08-23
4018,13.2913,2024-08-23
4019,15.9874,2024-08-23
4020,20.6662,2024-08-23
4021,21.965,2024-08-23
4022,21.1246,2024-08-23
7858,19.4403,2024-08-23
7859,21.4302,2024-08-23
4017,31.6437,2024-08-26
4018,32.5424,2024-08-26
4019,34.4817,2024-08-26
4020,30.3308,2024-08-26
4021,33.0048,2024-08-26
4022,32.4318,2024-08-26
7858,21.3323,2024-08-26
7859,33.616,2024-08-26
4017,NA,2024-08-28
4018,NA,2024-08-26
4019,NA,2024-08-26
4020,NA,2024-08-26
4021,NA,2024-08-26
4022,NA,2024-08-26
7858,NA,2024-08-26
7859,NA,2024-08-26
4017,78.6126,2024-08-30
4018,65.747,2024-08-30
4019,45.8337,2024-08-30
4020,74.108,2024-08-30
4021,65.3602,2024-08-30
4022,54.9316,2024-08-30
7858,69.2945,2024-08-30
7859,60.7762,2024-08-30
