ID,BW,DATE
3999,22.63,2024-05-29
3999,22.42,2024-06-05
3999,21.82,2024-06-12
3999,21.48,2024-06-19
3999,23.12,2024-06-26
3999,23.8,2024-07-02
3999,22.68,2024-07-03
3999,22.06,2024-07-10
3999,22.06,2024-07-17
3999,21.46,2024-07-24
3999,22.35,2024-07-31
3999,22.6,2024-08-07
3999,23.1,2024-08-14
3999,23.3,2024-08-21
3999,23,2024-08-28
3999,22.4,2024-09-04
3999,23.7,2024-09-11
3999,23.2,2024-09-18
3999,23.7,2024-09-25
3999,23.81,2024-10-02
3999,24.52,2024-10-09
3999,24.37,2024-10-16
4000,17.9,2024-04-01
4000,18.15,2024-04-03
4000,18.7,2024-04-10
4000,20.95,2024-04-17
4000,20.34,2024-04-24
4000,20.6,2024-05-01
4000,20.85,2024-05-08
4000,22.1,2024-05-15
4000,22.11,2024-05-22
4000,21.96,2024-05-29
4000,22.5,2024-06-05
4000,22.27,2024-06-12
4000,22.57,2024-06-19
4000,22.63,2024-06-26
4000,24,2024-07-02
4000,22.68,2024-07-03
4000,22.28,2024-07-10
4000,22.91,2024-07-17
4000,22.92,2024-07-24
4000,23.48,2024-07-31
4000,23.3,2024-08-07
4000,22.7,2024-08-14
4000,22.8,2024-08-21
4000,22.9,2024-08-28
4000,23,2024-09-04
4000,24.5,2024-09-11
4000,23.6,2024-09-18
4000,24.5,2024-09-25
4000,24.33,2024-10-02
4000,24.13,2024-10-09
4000,24.94,2024-10-16
4001,17.4,2024-04-01
4001,16.44,2024-04-03
4001,16.72,2024-04-10
4001,17.22,2024-04-17
4001,18.14,2024-04-24
4001,18.84,2024-05-01
4001,19.02,2024-05-08
4001,19.5,2024-05-15
4001,19.04,2024-05-22
4001,19.84,2024-05-29
4001,19.8,2024-06-05
4001,19.4,2024-06-12
4001,19.89,2024-06-19
4001,19.89,2024-06-26
4001,20.6,2024-07-02
4001,20,2024-07-03
4001,19.71,2024-07-10
4001,21.56,2024-07-17
4001,20.96,2024-07-24
4001,20.33,2024-07-31
4001,20.4,2024-08-07
4001,20.4,2024-08-14
4001,20.5,2024-08-21
4001,21.1,2024-08-28
4001,21.4,2024-09-04
4001,20.4,2024-09-11
4001,21,2024-09-18
4001,22.2,2024-09-25
4001,21.83,2024-10-02
4001,22.37,2024-10-09
4001,21.48,2024-10-16
4002,18.1,2024-04-01
4002,18.27,2024-04-03
4002,18.07,2024-04-10
4002,18.26,2024-04-17
4002,17.24,2024-04-24
4002,17.86,2024-05-01
4002,19.53,2024-05-08
4002,18.99,2024-05-15
4002,18.54,2024-05-22
4002,19.34,2024-05-29
4002,20.6,2024-06-05
4002,20.14,2024-06-12
4002,19.74,2024-06-19
4002,19.76,2024-06-26
4002,21,2024-07-02
4002,20.23,2024-07-03
4002,19.86,2024-07-10
4002,20.56,2024-07-17
4002,20.9,2024-07-24
4002,20.82,2024-07-31
4002,21.2,2024-08-07
4002,21.3,2024-08-14
4002,21.6,2024-08-21
4002,21.5,2024-08-28
4002,21.3,2024-09-04
4002,21.5,2024-09-11
4002,21.8,2024-09-18
4002,21.7,2024-09-25
4002,21.69,2024-10-02
4002,21.66,2024-10-09
4002,22.42,2024-10-16
4003,17.2,2024-04-01
4003,16.9,2024-04-03
4003,16.22,2024-04-10
4003,15.94,2024-04-17
4003,16.1,2024-04-24
4003,16.28,2024-05-01
4003,16.98,2024-05-08
4003,17.23,2024-05-15
4003,17.66,2024-05-22
4003,18.06,2024-05-29
4003,18.72,2024-06-05
4003,18.73,2024-06-12
4003,18.38,2024-06-19
4003,19.32,2024-06-26
4003,19.3,2024-07-02
4003,18.54,2024-07-03
4003,19.61,2024-07-10
4003,20.07,2024-07-17
4003,18.43,2024-07-24
4003,19.82,2024-07-31
4003,18.9,2024-08-07
4003,19.2,2024-08-14
4003,18.8,2024-08-21
4003,19.1,2024-08-28
